NAZWA, KOD, MIASTO, ULICA, NUMER
Kino Ratusz, 98-220, Zduńska Wola, plac Wolności,
Regis, 32-700, Bochnia, ul. Regis, 1
Warszawa, 37-200, Przeworsk, Jagiellońska, 10a
Planeta, 32-800, Brzesko, ul. Pomianowska, 2B
Sokół, 33-200, Dąbrowa Tarnowska, ul. Kościuszki, 11
Kolory, 38-300, Gorlice, ul. Hugona Kołłątaja, 16
Dom Kultury, 32-650, Kęty, ul. Żwirki i Wigury, 2a
Agrafka, 31- 142, Kraków, ul. Krowoderska, 8
Kijów, 30-101, Kraków, al. Zygmunta Krasińskiego, 34
KIKA, 30-503, Kraków, ul. Krasickiego, 18
Kino Pod Baranami, 31-010, Kraków, Rynek Główny, 27
Mikro, 30-001, Kraków, ul. Lea, 5
Paradox, 31-123, Kraków, ul. Krupnicza, 38
Sfinks, 31-959, Kraków, Os. Górali, 5
Jaworzyna, 33-380, Krynica-Zdrój, ul. Marszałka Józefa Piłsudskiego, 19
Lot, 58-500, Jelenia Góra, ul. Pocztowa, 11
GO!KINO, 55-200, Oława, ul. Nowy Otok, 11
Muza, 59-300, Lubin, al.Armii Krajowej, 1
Miejski Ośrodek Kultury/Nowa Ruda, 57-400, Nowa Ruda, ul. Strzelecka, 2a
Polkowickie Centrum Animacji, 59-101, Polkowice, ul. Skalników, 4
Ślęża, 55-050, Sobótka, ul. F. Chopina, 25
Polonia, 55-100, Trzebnica, ul. Prusicka, 12
Apollo, 58-302, Wałbrzych, ul. Armii Krajowej, 42
Dolnośląskie Centrum Filmowe, 50-020, Wrocław, ul. Piłsudskiego, 64a
Aurum, 59-500, Złotoryja, pl. Reymonta, 5
Kinomax, 88-100, Inowrocław, ul. Jana Molla, 3
Wawrzyn, 88-300, Mogilno, ul. Ks. P. Wawrzyniaka, 1
Wrzos, 86-100, Świecie, ul. Wojska Polskiego, 139
Merkury, 21-500, Biała Podlaska, ul. Brzeska, 43
Bajka, 20-039, Lublin, ul. Radziszewskiego, 8
Biłgorajskie Centrum Kultury, 23-400, Biłgoraj, ul. Tadeusza Kosciuszki, 16
Centrum Kultury Filmowej ZORZA, 22-100, Chełm, ul. Strażacka, 2
Sokół, 34-500, Zakopane, ul. Orkana, 2
Metalowiec, 23-210, Kraśnik, Al. Niepodległości, 44
Kino Łuków, 21-400, Łuków, Wyszyńskiego, 20
Renesans, 08-500, Ryki, Warszawska, 11
Sybilla, 24-100, Puławy, al. Partyzantów, 6
Lot, 21-040, Świdnik, al. Lotników Polskich, 24
Centrum Kultury Filmowej Stylowy, 22-400, Zamość, ul. Odrodzenia, 9
Maxkino, 66-200, Świebodzin, Słowiańska, 1
Kino Wars, 18-200, Wysokie Mazowieckie, Ludowa, 19
Wisła, 01-615, Warszawa, Pl.Wilsona, 2a
Atlantic, 00-021, Warszawa, Chmielna, 33
Kinoteka, 00-901, Warszawa, plac Defilad, 1
Stacja Falenica, 04-912, Warszawa, ul.Patriotów, 44A
U-jazdowski Kino, 00-467, Warszawa, ul. Jazdów, 2
Łydynia, 06-400, Ciechanów, ul. Strażacka, 5
Wilga, 08-400, Garwolin, ul. Nadwodna, 1
Kino Centrum Kultury, 05-825, Grodzisk Mazowiecki, ul. Spółdzielcza, 9
Kino Mazowsze, 06-200, Maków Mazowiecki, ul. Stanisława Moniuszki, 2
Muza, 05-300, Mińsk Mazowiecki, ul. Armii Ludowej, 23
Ostrovia, 07-300, Ostrów Mazowiecka, ul. 11 Listopada, 5
Baśń, 05-850, Piastów, ul. Warszawska, 24
NoveKino Przedwiośnie, 09-402, Płock, ul. Tumska, 5a
Kalejdoskop, 09-100, Płońsk, Płocka, 50
Pomiechówek, 05-180, Pomiechówek, ul. Jana Kilińskiego, 1
NoveKino Siedlce, 08-100, Siedlce, ul. Wiszniewskiego, 4
Kultura, 05-200, Wołomin, ul. Adama Mickiewicza, 9
Kino-Teatr Kurtyna, 05-071, Sulejówek, ul. Armii Krajowej, 34
Kino Dobrych Filmów, 07-200, Wyszków, ul. Prosta, 7
MOKiS 3D, 58-260, Bielawa, Piastowska, 19A
Kadr, 59-920, Bogatynia, ul. Drugiej Armii Wojska Polskiego, 1
Forum, 59-700, Bolesławiec, pl. Piłsudskiego, 1C
Zbyszek, 58-200, Dzierżoniów, Świdnicka, 23
Piast, 59-220, Legnica, ul. Biskupia, 5
