Miejscowość,Adres Sklepu,Kod pocztowy sklepu,
Dąbrowa Tarnowska,Ul. Grunwaldzka 28a,33-200,
Dębica,Ul. Rzeszowska 131,39-200,
Dobra,Dobra 45,34-642,
Dubiecko,Ul. Przemyska 43a,37-750,
Limanowa,Ul. Zygmunta Augusta 6,34-600,
Mszana Dolna,Ul. Piłsudskiego 28,34-730,
Tymbark,Tymbark 55,34-650,
Wiśniowa,Wiśniowa 646,32-412,
