Lp.,Nazwa ulicy / rejon,Numer,Nazwa przystanku,NOWY Numer,NOWA Nazwa przystanku,Dostępność
78,Gnieźnieńska ,02, Połczyńska,02,Rondo Solidarności,ogólnodostępny
79,Gnieźnieńska ,01, Modrzejewskiej,01,Samochodówka,ogólnodostępny
80,Gnieźnieńska ,03, 4 Marca,01,Zajezdnia MZK,ogólnodostępny
81,Gnieźnieńska ,06, Strażacka,04,Gnieźnieńska,ogólnodostępny
82,Gnieźnieńska ,08, Kamieniarska pętla,02,Cmentarz,operator publicznego transportu zbiorowego
83,Gnieźnieńska ,07, Cmentarz ,01,Cmentarz Stary,ogólnodostępny
84,Gnieźnieńska ,10, Cmentarz ,02,Cmentarz Stary,ogólnodostępny
85,Gnieźnieńska ,09, Kościół,01,Cmentarz Nowy,ogólnodostępny
86,Gnieźnieńska ,14, Okrężna,02,Wilkowo,ogólnodostępny
87,Grecka,01,Grecka,01,Grecka,ogólnodostępny
88,Grecka,02,Grecka,02,Grecka,ogólnodostępny
89,Holenderska,01,Orlik,01,Holenderska Orlik,ogólnodostępny
90,Holenderska,03,KTBS,01,Holenderska KTBS,ogólnodostępny
91,Holenderska ,04, Brytyjska,02,Holenderska KTBS,ogólnodostępny
92,Holenderska  ,02, Maltańska ,02,Holenderska Orlik,ogólnodostępny
93,Ignacego Łukasiewicza,02, Romex,02,Łukasiewicza,ogólnodostępny
94,Ignacego Łukasiewicza ,01, Romex,01,Łukasiewicza,ogólnodostępny
95,Ignacego Łukasiewicza ,03, Nord Glass,01,Strefa Ekonomiczna,ogólnodostępny
96,Ignacego Paderewskiego,01, Sybiraków,01,Wodna Dolina,ogólnodostępny
97,Jamneńska ,01, Północna,01,Jamno,ogólnodostępny
98,Jamneńska ,02, Północna,02,Jamno,ogólnodostępny
99,Jamneńska ,03, Szkoła pętla,01,Zagroda Jamneńska,ogólnodostępny
100,Jamneńska ,04, Szkoła pętla,02,Zagroda Jamneńska,ogólnodostępny
101,Jamneńska ,05,Wichrowa,01,Wichrowa,ogólnodostępny
102,Jamneńska ,06,Wichrowa,02,Wichrowa,ogólnodostępny
103,Jamneńska ,08, Filtrowa ,02,Oczyszczalnia,ogólnodostępny
104,Jana Pawła II,05, Władysława IV,01,Jana Pawła II,operator publicznego transportu zbiorowego
105,Jana Pawła II ,02, Politechnika,02,Politechnika,ogólnodostępny
106,Jana Pawła II ,01, Fałata,01,Politechnika,operator publicznego transportu zbiorowego
107,Jana Pawła II ,03, Jagoszewskiego,01,Staszica,ogólnodostępny
108,Jana Pawła II ,04,Staszica,02,Staszica,ogólnodostępny
109,Janka Stawisińskiego,02, Połczyńska,04,Rondo Solidarności,ogólnodostępny
110,Janka Stawisińskiego,01, Racławicka,01,Plastyk,ogólnodostępny
111,Janka Stawisińskiego,04, Politechnika,02,Plastyk,ogólnodostępny
112,Janka Stawisińskiego,03, Andersa,01,Urząd Pracy,ogólnodostępny
113,Jedności,02,Basen,02,Basen,ogólnodostępny
114,Juliana Fałata,03, Jana Pawła II,03,Politechnika,ogólnodostępny
115,Juliana Fałata ,02, Szkoła,02,ZUS,ogólnodostępny
116,Juliana Fałata ,01, Wańkowicza,01,ZUS,ogólnodostępny
117,Koszalińska ,02,Ariadna,02,Ariadna,ogólnodostępny
118,Koszalińska ,01,Ariadna,01,Ariadna,ogólnodostępny
119,Koszalińska ,04,Żyzna,02,Żyzna,ogólnodostępny
120,Koszalińska ,03,Żyzna,01,Żyzna,ogólnodostępny
121,Koszalińska ,05,Kwiatowa,01,Kwiatowa,ogólnodostępny
122,Koszalińska ,06,Kwiatowa,02,Kwiatowa,ogólnodostępny
123,Kościuszki ,02, Piłsudskiego,02,Kościuszki,ogólnodostępny
124,Kościuszki ,,NOWY PRZYSTANEK,01,Kościuszki,ogólnodostępny
125,Krakusa i Wandy,01, Lechicka,01,Krakusa i Wandy,operator publicznego transportu zbiorowego
126,Krakusa i Wandy,04, Drzymały,02,Drzymały,operator publicznego transportu zbiorowego
127,Krakusa i Wandy ,02, Połczyńska,06,Rondo Solidarności,operator publicznego transportu zbiorowego
128,Krakusa i Wandy ,03, Zwycięstwa,01,Dworzec PKS,operator publicznego transportu zbiorowego
129,Krańcowa ,01, Franciszkańska,01,Krańcowa,ogólnodostępny
130,Kresowian,02,Morska,04,Kresowian,ogólnodostępny
131,Kresowian,03,Franciszkańska,01,DPS,ogólnodostępny
132,Lechicka,02, Kolejowa,02,Łużycka,ogólnodostępny
133,Lechicka,05, Działki,01,Lechicka Działki,ogólnodostępny
134,Lechicka ,01, Łużycka,01,Łużycka,ogólnodostępny
135,Lechicka ,03, Bumar ,01,Lechicka,ogólnodostępny
136,Lechicka ,04, Bumar ,02,Lechicka,ogólnodostępny
137,Lechicka ,07,Ogrodnictwo,01,Ogrodnictwo,ogólnodostępny
138,Lechicka ,06,Ogrodnictwo,02,Ogrodnictwo,ogólnodostępny
139,Lubiatowska,05, Łąkowa ,01,Dzierżęcino,ogólnodostępny
140,Lubiatowska,07,Żurawinowa,01,Żurawinowa,ogólnodostępny
141,Lubiatowska,09,Zielone Wzgórze,01,Zielone Wzgórze,ogólnodostępny
142,Lubiatowska,11, Jeziorna ,01,Jeziorna,ogólnodostępny
