operator,addr:housenumber,addr:street,addr:city,addr:place,addr:postcode,fuel:octane_95,fuel:octane_98,fuel:diesel,fuel:lpg,fuel:CNG
Komercja Sp. Z O.O. (Stacja Franczyzowa Pkn Orlen S.A. Nr 7493),50,Gorzowska,Witnica,,66-460,yes,yes,yes,yes,
Hurtpetrol Spółka Z Ograniczoną Odpowiedzialnościa,54A,,,BYTNICA,66-630,yes,,yes,,
Petro Oil Spółka Z Ograniczoną Odpowiedzialnością,15,Łużycka,Dąbie,,66-615,yes,,,,
Maria I Stefan Juszczak,46/1,Działka Nr,Gronów,,66-615,,,,yes,
Pph Mencel Spółka Jawna (Part. Bp),19,Główna,Gronów,,66-600,yes,yes,yes,yes,
Jolanta Brzyszcz Stacja Auto-Eko-Gaz,2,Krakowska,Gubin,,66-620,,,,yes,
Auto-Eko-Gaz Jolanta I Janusz Brzyszcz,2,Ceglana,Gubin,,66-620,,,,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością,7,Ii Armii Wojska Polskiego,Gubin,,66-620,yes,yes,yes,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,111A,Kresowa,Gubin,,66-620,yes,yes,yes,yes,
"Przedsiębiorstwo Handlowe ""Wdf Fijołek"" Sp. J.",9,Kujawska,Gubin,,66-620,yes,,yes,,
Apexim Ab Paliwa Sp Z O.O.,19A,Sękowice,Gubin,,66-620,yes,yes,yes,,
Apexim Ab Paliwa Spółka Z Ograniczoną Odpowiedzialnością,19B,Sękowice,Gubin,,66-620,yes,yes,yes,,
Horex A. I E. Horoszkiewicz Spółka Jawna,48,Śląska,Gubin,,66-620,yes,yes,yes,,
Przedsiębiorstwo Usług Miejskich Spółka Z Ograniczoną Odpowiedzialnoscią,36,Śląska,Gubin,,66-620,,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 881,31,Wyspiańskiego,Gubin,,66-620,yes,yes,yes,yes,
Stacja Auto - Eko -Gaz Jolanta Brzyszcz,2,Ceglana,Komorów,,,,,,yes,
Horex A. I E. Horoszkiewicz Spółka Jawna (Part. Lotos),151,Kresowa,Komorów,,66-620,yes,yes,yes,yes,
Tomasz Krauze,,,,KROSNO ODRZAŃSKIE,66-600,,,,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 1555),16A,Szosa Poznańska,Krosno Odrzańskie,,66-600,yes,yes,yes,yes,
Dan-Pol Daniel Dworak,28,Kościuszki,Krosno Odrzańskie,,66-600,yes,,yes,yes,
Carmen Sp. Z O.O.,,,,POŁUPIN,66-615,,,,yes,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,1,Widok,Połupin,,66-600,yes,yes,yes,yes,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,78,,,SĘKOWICE,66-620,yes,,yes,,
Apexim Ab Paliwa Spółka Z Ograniczoną Odpowiedzialnością (Fr. Orlen),19A,,,SĘKOWICE,66-620,yes,yes,yes,,
Tewo T. I W. Szpakowscy Spółka Jawna,,,,STAROSIEDLE,66-620,yes,,yes,yes,
Petrotrans Spółka Z Ograniczoną Odpowiedzialnością (Moya),11,Sportowa,Brójce Lubuskie,,66-304,yes,,yes,,
Bp Europa Se Spółka Europejska Oddział W Polsce,101,,,CHOCISZEWO,66-304,yes,yes,yes,yes,
Amic Polska Spółka Z Ograniczoną Odpowiedzialnością,107,,,LUTOL SUCHY,66-304,yes,,yes,yes,
P.P.H.U. Prodex Dariusz Nowicki,30,Chrobrego,Międzyrzecz,,66-300,,,,yes,
Petrotrans Sp.Z O.O.,5,Rokitniańska,Międzyrzecz,,66-300,yes,,yes,,
Export-Import Hurt Detal Art. Przemysłowe Pochodzenia Zagranicznego I Krajowego Piotr Myszko,56,Waszkiewicza,Międzyrzecz,,66-300,,,,yes,
Neo Spółka Z Ograniczoną Odpowiedzialnością,2,Malczewskiego,Międzyrzecz,,66-300,yes,yes,yes,yes,
Unimot Społka Akcyjna (Avia),58A,30-Go Stycznia,Międzyrzecz,,66-300,yes,,yes,,
Pphu Jumar Sp. Z O.O. (Stacja Franczyzowa Pkn Orlen S.A. Nr 7003),69,Kazimierza Wielkiego,Międzyrzecz,,66-300,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 300,2,Pamiątkowa,Międzyrzecz,,66-300,yes,yes,yes,yes,
Auto Port Renice Spółka Jawna Bogusławska (Part. Circle),60,,,NOWA NIEDRZWICA,66-340,yes,,yes,yes,
Mol Polska Spółka Z Ograniczoną Odpowiedzialnością,,Popowo 52 (Mop Popowo,Popowo,,66-350,yes,,yes,yes,
Mol Polska Spółka Z Ograniczoną Odpowiedzialnością,,Popowo 51 (Mop Popowo,Popowo,,66-350,yes,,yes,yes,
Amerigas Polska Sp. Z O.O.,,Nowa,Przytoczna,,66-340,,,,yes,
Stacja Paliw Fubi,23A,Wierzbno,Przytoczna,,,,,,yes,
"Z.U.H. ""Agrimex"" Artur Cugier",2,Międzyrzecka,Pszczew,,66-330,yes,,yes,,
Auto Gas,22A,Gorzowska,Skwierzyna,,66-440,,,,yes,
"Bar ""Skrzat"" Anna Boszko",23B,Gorzowska,Skwierzyna,,66-440,,,,yes,
Ośrodek Transportu Leśnego,17,Poznańska,Skwierzyna,,66-440,yes,,yes,,
"Przedsiębiorstwo Produkcyjno-Handlowe Kew-K.Koźmińska, Spółka Jawna Stacja Shell Polska Sp. Z O.O. Nr 8440)",24,Poznańska,Skwierzyna,,66-440,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4418),44A,,,WIERZBNO,66-340,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 1125,17,Kożuchowska,Bytom Odrzański,,67-115,yes,,yes,,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,,,,GOŁASZYN,67-124,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 987),2,Nowosolska,Konotop,,66-134,yes,yes,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 987,4,Nowosolna,Kożuchów,,67-120,yes,yes,yes,,
"Mariusz Milczarek Stacja Paliw ""Mm""",21,Główna,Kożuchów,,67-120,yes,yes,yes,yes,
Wasbruk  Sp. Z O.O.,1,Chałubińskiego,Nowa Sól,,67-100,yes,,yes,yes,
Zakład Dystrybucji Gazów Technichnych Krzysztof Marciniak,106,"Nowa Sól, Ul. Zielonogórska",Nowa Sól,,67-100,,,,yes,
"Stacja Paliw Franciszek Nadziejko, Alina Nadziejko Spółka Jawna",111B,Głogowska,Nowa Sól,,67-100,yes,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 1015,102B,Wojska Polskiego,Nowa Sól,,67-100,yes,yes,yes,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością (Stacja Nr 5308),17,Staszica,Nowa Sól,,67-100,yes,yes,yes,yes,
Jack-Speed Spółka Z Ograniczoną Odpowiedzialnoscią,1,Przyszłości,Nowa Sól,,67-100,yes,,yes,,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,69,Piłsudskiego,Nowa Sól,,67-100,yes,yes,yes,yes,
Wmc Invest Sp. Z O.O. (Stacja Partnerska Marki Bp),91,Zielonogórska,Nowa Sól,,67-100,yes,yes,yes,yes,
Stacja Paliw Piętak Ryszard,35,Kościuszki,Nowe Miasteczko,,67-124,yes,,yes,,
Np-Group Spółka Z Ograniczoną Odpowiedzialnością (Part. Bp),1A,Szosa Bytomska,Nowe Miasteczko,,67-124,yes,yes,yes,yes,
Konserwacje Zabytków Marek Trojanowski,3,Cmentarna,Siedlisko,,67-112,yes,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 1114,54,Słubicka,Cybinka,,66-630,yes,yes,yes,yes,
Stacja Paliw Hofman,11C,Krośnieńska,Cybinka,,69-108,yes,yes,yes,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością (Stacja Nr 4022),1,Chyrzyno,Górzyca,,69-113,yes,yes,yes,yes,
Przedsiębiorstwo Handlowe Ad*Rem Wojcjech Teszner,42A,Wolności,Górzyca,,66-470,yes,yes,yes,,
"Phu Mdm Udziela, Udziela Spółka Jawna (Stacja Franczyzowa Pkn Orlen S.A. Nr 7554)”",27,Radowska,Kowalów,,69-110,yes,yes,yes,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,30,Słubicka,Kunowice,,69-100,yes,yes,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 990),23,11-Go Listopada,Ośno Lubuskie,,69-220,yes,yes,yes,yes,
"Zakład Gazownictwa Bezprzewodowego ""Auto-Gaz"" Bożena Bielińska",67,Słubicka,Rzepin,,69-110,,,,yes,
Mol Polska Spółka Z Ograniczoną Odpowiedzialnością,3,Zachodnia,Rzepin,,69-110,yes,,yes,yes,
Stacja Paliw  Alblas Transport Sp. Z O.O.,84,Słowackiego,Rzepin,,69-110,,,yes,,
Przedsiębiorstwo Usługowo-Handlowe Hemak,80,Mickiewicza,Rzepin,,69-110,yes,,yes,yes,
Pkp Cargo S.A.,1,Towarowa,Rzepin,,69-110,,,yes,,
Cydia Sp. Z O.O. S.K. - Marka Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,23,1-Go Maja,Słubice,,69-100,yes,yes,yes,yes,
Stacja Lpg Alfa,,,,SŁUBICE,69-100,,,,yes,
Stacja Paliw Anka,71,Wojska Polskiego,Słubice,,69-100,,,,yes,
Bilans Sp. Z O.O. (Intermarche),21,Kościuszki,Słubice,,69-100,yes,yes,yes,yes,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,7,Tranportowa,Słubice,,69-100,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 4391,,Mop Sosna (Autostrada,Słubice,,69-100,yes,yes,yes,yes,
Bilińscy Stacje Paliw Spółka Jawna Stacja Franczyzowa Pkn Orlen S.A. Nr 7608),6B,Wojska Polska,Słubice,,69-100,yes,yes,yes,,
Anwim Spółka Akcyjna,16,Osiedle Przemysłowe,Słubice,,69-100,,,yes,,
Anwim Spółka Akcyjna,39,Świecko,Słubice,,69-100,,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 4390,,Mop Gnilec (Autostrada,Słubice,,69-100,yes,yes,yes,yes,
Polmax Spółka Akcyjna Spółka Komandytowo-Akcyjna,72,Wojska Polskiego,Słubice,,69-100,yes,,yes,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,8C,Transportowa,Słubice,,69-100,yes,yes,yes,yes,
Eko Tank Energy Spółka Z Ograniczoną Odpowiedzialnością (Total),12,Transportowa,Słubice,,69-100,yes,yes,yes,yes,
Faraon Plus Spółka Z Ograniczoną Odpowiedzialnością,114,Wojska Polskiego,Słubice,,69-100,yes,,yes,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością,85,Kopernika,Słubice,,69-100,yes,yes,yes,,
Bp Europa Se Spółka Europejska Oddział W Polsce,7A,1-Go Maja,Słubice,,69-100,yes,yes,yes,,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością (Stacja Nr 5303),25,Chrobrego,Słubice,,69-100,yes,,yes,yes,
Amic Polska Spółka Z Ograniczoną Odpowiedzialnością,33,1-Go Maja,Słubice,,69-100,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 294),30,1-Go Maja,Słubice,,69-100,yes,yes,yes,,
Krzysztof Mencel Pphu Menpol (Part. Bp),39,,,ŚWIECKO,69-100,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 1255),,,,ŚWIECKO,69-105,yes,yes,yes,,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością,36,,,ŚWIECKO,69-100,yes,,yes,yes,
E100 International Trade Spółka Z Ograniczoną Odpowiedzialnoscią,39,,,ŚWIECKO,69-105,,,yes,,
Stacja Paliw,32,Szosowa,Urad,,69-108,,,,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4253),27,Gorzowska,Dobiegniew,,66-520,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 588,24,Niepodległości,Drezdenko,,66-530,yes,yes,yes,yes,
Zakład Budowlany Antczak Sp.J.,19,Pierwszej Brygady,Drezdenko,,66-530,yes,,yes,yes,
Wiesław Widera Stacja Diagnostyczna (Part. Lotos),33,Poznańska,Drezdenko,,66-530,yes,yes,yes,yes,
Zakład Budowlany Antczak Sp.J.,1,Pomorska,Drezdenko,,66-530,yes,,yes,yes,
Sprzedaż Produktów Naftowych  Ryszard Siarkiewicz,4,,,KLESNO,66-530,yes,,yes,,
Euro Kiela S. J. (Stacja Franczyzowa Pkn Orlen S.A. Nr 7512),,,,NOWE KUROWO,66-540,yes,yes,yes,yes,
Mirosław Bratkowski Phu Auto Gaz,4,Cmentarna,Strzelce Krajeńskie,,66-500,,,,yes,
"Prywatne Przedsiębiorstwo Usługowo Handlowe Marzena Jarmuła, Stacja Lpg Strzelce Krajeńskie",6,Gorzowska,Strzelce Krajeńskie,,66-500,,,,yes,
Gandia Spółka Z Ograniczoną Odpowiedzialnością (Intermarche),4C,Wyzwolenia,Strzelce Krajeńskie,,66-500,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 299),5A,Wojska Polskiego,Strzelce Krajeńskie,,66-500,yes,yes,yes,yes,
Przedsiębiorstwo Komunikacji Samochodowej W Gorzowie Wielkopolskim Spółka Z Ograniczoną Odpowiedzialnoscią,6,Gdańska,Strzelce Krajeńskie,,66-500,yes,,yes,,
"Robert Tuz, Zakład Usług Transportowych ""Ertrans""",3,Wodociągowa,Strzelce Krajeńskie,,66-500,yes,,yes,,
Eco-Invest Sp.Z O.O. I Wspólnicy Sp. Komandytowa (Stacja Partnerska Marki Bp),16,Gorzowska,Strzelce Krajeńskie,,66-500,yes,yes,yes,,
"Przedsieborstwo ""Ochman"" Adam Ochman",4,Leśna,Boczów,,66-234,yes,,yes,,
Stacja Paliw,34,,,KORYTA,66-235,,,yes,,
Pieprzyk Family Spółka Z Ograniczoną  Odpowiedzialnością,46,Skwierzyńska,Krzeszyce,,66-435,yes,,yes,yes,
Auto-Benz Sp.Z O.O.,16/2,3-Go Lutego,Słońsk,,66-436,yes,,yes,yes,
Hubertus Spółka Z Ograniczoną Odpowiedzialnością (Part. Shell),17,3-Go Lutego,Słońsk,,66-436,yes,,yes,yes,
Stacja Lpg,,Os.,Sulęcin,,,,,,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 4071,1B,Poznańska,Sulęcin,,69-200,yes,yes,yes,yes,
Evora Sp.Z O.O. (Intermarche),4,Poznańska,Sulęcin,,69-200,yes,yes,yes,yes,
"Aris Polska, Sp. Z O.O.",1,Świebodzińska,Torzym,,66-200,,,yes,,
Stacja Paliw Polmax,,Boczów Trasa,Torzym,,66-234,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4428),,,,TORZYM,66-235,yes,yes,yes,yes,
Menpol Krzysztof Mencel Spółka Komandytowo-Akcyjn(Stacja Partnerska Marki Bp),55,Pniów,Torzym,,66-235,yes,yes,yes,yes,
Jerzy Sobczak Phu Petro-Plus,6,Kolonie Poręby,Torzym,,66-235,,,yes,,
Olkop Spółka Z Ograniczoną Odpowiedzialnością,1,Kolonia Świebodzińska,Torzym,,66-235,yes,,yes,yes,
Polmax Spółka Akcyjna Spółka Komandytowo-Akcyjna (Stacja Partnerska Marki Lotos),,,,TORZYM,66-234,yes,,yes,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością,,Kolonia,Torzym,,66-235,yes,,yes,yes,
Port 2000 Marcinkiewicz Sp.J. (Stacja Shell Polska Sp. Z O.O. Nr 8537),6,Zakładowa,Torzym (Boczów),,66-235,yes,yes,yes,yes,
Artix Spółka Z Ograniczoną Odpowiedzialnoscią (Part. Bp),36,,,CHLASTAWA,66-210,yes,yes,yes,yes,
Voltaic Logistic Spółka Z Ograniczoną Odpowiedzialnością (Part. Circle),,Mop Kępsko,Kępsko,,66-213,yes,yes,yes,yes,
Las-Vegas Marek Szaniewski,15,Mostki,Lubrza,,66-218,yes,,yes,yes,
Citronex Trans Energy Spółka Z Ograniczoną Odpowiedzialnością (Part. Bp),2,Osada Janisławiec,Mostki,,66-218,yes,yes,yes,yes,
Port 2000 Marcinkiewicz Sp. J. (Stacja Marki Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością),"55,7",Słupek Drogowy,Mostki,,66-218,yes,yes,yes,yes,
Port 2000 Marcinkiewicz Spółka Jawna,200,,,MOSTKI,66-218,yes,yes,yes,yes,
Las Vegas Marek Szaniawski,15,,,MOSTKI,66-218,yes,,yes,yes,
Stacja Paliw Nevada,37/1,,,POŹRZADŁO,66-220,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4138),,Dk2,Poźrzadło,,66-220,yes,yes,yes,yes,
Stacja Paliw S.C. Mirosław Kuś Mirosława Kuś,32,,,RADOSZYN,66-213,yes,,yes,,
Lampogas Kargas Sp. Z O.O.,148/6,,,ROGOZINIEC,66-210,,,,yes,
Dexoil Sp.Z O. O. Stacja Paliw,,,,ROGOZINIEC,66-210,,,,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,11A,,,ROGOZINIEC,66-210,yes,yes,yes,yes,
Port 2000 Marcinkiewicz Spółka Jawna (Stacja Partnerska Marki Bp),,,,ROSIN,66-200,yes,yes,yes,yes,
Citronex I Sp. Z O.O. - Marka Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,4,,,STOK,66-220,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 592),11B,Przyłączna,Sulechów,,68-100,yes,yes,yes,,
Thesis Spółka Z Ograniczoną Odpowiedzialnością,1A,Myszęcin,Szczaniec,,66-225,,,,yes,
Nova Marcin Szwedek (Stacja Shell Polska Sp. Z O.O. Nr 8182),6,Myszęcin,Szczaniec,,66-225,yes,,yes,,
Phu Danex Daniel Kuźniak,12,Jeziorowa,Świebodzin,,66-200,,,,yes,
Watis Polska Spółka Z Ograniczoną Odpowiedzialnością,38,Poznańska,Świebodzin,,66-200,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 67),67,Piłsudskiego,Świebodzin,,66-200,yes,,yes,,
Orlen Spółka Akcyjna Nr 1014,8,Wojska Polskiego,Świebodzin,,66-200,yes,yes,yes,yes,
Polmax Spółka Akcyjna Spółka Komandytowo-Akcyjna,6,Sobieskiego,Świebodzin,,66-200,yes,,yes,yes,
Polmax S.A.,,,,WILKOWO,66-200,yes,,yes,yes,
Artix Sp.Z O.O. (Stacja Franczyzowa Pkn Orlen S.A. Nr 7390),36,Chlastawa,Zbąszynek,,66-312,yes,,yes,yes,
"Stadnina Koni Dębno Adam Lachera, Ewa Lachera, Żaneta Lachera Sp.J. (Part. Bp Bp)",250,,,KONRADOWO,67-400,yes,yes,yes,yes,
F.H.U. Jarosław Kmito (Fr. Orlen),57,,,PRZYCZYNA DOLNA,67-400,yes,,yes,yes,
Stacja Lpg,,Henryka,Sława,,67-410,,,,yes,
"Phu ""Mako"" Mały Spółka Jawna",33A,Przemysłowa,Sława,,67-410,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 1011,29,Wschowska,Sława,,67-410,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4248),52,Głogowska,Szlichtyngowa,,67-407,yes,yes,yes,yes,
Stacja Paliw Omega Sp. Z O.O.,460/3,Konradowo,Wschowa,,67-400,yes,,yes,yes,
Stacja Lpg,,,,WSCHOWA,67-400,,,,yes,
Fhu Jarosław Kmito,,Moniuszki 13,Wschowa,,67-400,yes,yes,yes,yes,
Pieprzyk Family Spółka Z Ograniczoną  Odpowiedzialnością,21B,Kazimierza Wielkiego,Wschowa,,67-400,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 590),41,Daszyńskiego,Wschowa,,67-400,yes,yes,yes,yes,
"Arenys Sp. Z O.O., (Intermarche)",20,Wolsztyńska,"Wschowa,",,67-400,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4429),,,,BABIMOST,66-110,yes,yes,yes,yes,
Przedsiębiorstwo Wielobranżowe Romix Spółka Z Ograniczoną Odpowiedzialnością,2,Leśna,Babimost,,66-110,yes,yes,yes,yes,
"Teresa Wańska, Przedsiębiorstwo Handlowo Usługowe Roltank",,,,BOJADŁA,66-130,yes,,yes,yes,
Spółdzielnia Transportu Wiejskiego,3,Poligonowa,Brzezie,,66-100,,,yes,,
Lampogas Kargas Sp. Z O.O.,,,,CIGACICE,66-131,,,,yes,
Stacja Lpg,5,Podgórna,Cigacice,,66-100,,,,yes,
"Pkp Cargo S.A. Czerwieńsk,",4,Boczna,Czerwieńsk,,66-016,,,yes,,
Pw Mieczysław Palonka,2,Dębowa,Drożków,,66-003,yes,,yes,,
5.Stacja Lpg,,,,KARGOWA,66-120,,,,yes,
Firma Wielobranżowa Adjor-Service Rojda Jerzy,32,Wolsztyńska,Krężoły,,66-100,yes,,yes,,
P.H.U. Sprzedaż Paliw,28,,,KRĘŻOŁY,66-100,yes,,yes,,
Bernard Mirosławski Firma Handlowa Bermix,22,Pocztowa,Nowogród Bobrzański,,66-010,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 885,4,H. Brodatego,Nowogród Bobrzański,,66-010,yes,,yes,yes,
"Grupa Investycyjno Kapitałowa ""Gik"" Spółka Z Ograniczoną Odpowiedzialnością (Fr. Orlen)",16,,,NOWY ŚWIAT,66-100,yes,yes,yes,yes,
Mirosław Gienko Punkt Handlowo - Usługowy Dystrybucja Gazu,16,,,NOWY ŚWIAT,66-100,,,,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 1120),,Droga Krajowa A3,Racula,,66-004,yes,yes,yes,yes,
P.P.U.H. Jedar Skrzyniarz Jerzy I Józef Sp. J.,15,Przemysłowa,Sulechów,,66-100,yes,,yes,yes,
"Phu Hurt-Detal Budownictwo Ziemno-Melioracyjne Import-Export Ireneusz Ciołek, Mariusz Ciołek S.C.",12,Al. Wielkopolska,Sulechów,,66-100,,,,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością (Stacja Nr 5332),,Nowy Świat /,Sulechów,,66-100,yes,yes,yes,yes,
Posbet Spółka Z Ograniczoną Odpowiedzialnością,5,Łochowska,Sulechów,,66-100,yes,,yes,,
Przedsiębiorstwo Handlowo Produkcyjno Usługowe Agrovol Sp. Z O.O.,11,Kruszyna,Sulechów,,66-100,yes,,yes,,
Mol Polska Spółka Z Ograniczoną Odpowiedzialnością,33,Żwirki I Wigury,Sulechów / Brzezie,,66-110,yes,yes,yes,yes,
"Mariusz Milczarek Stacja Paliw ""Mm""",17,Obwodowa,Świdnica,,66-008,yes,,yes,yes,
Przedsiębiorstwo Wielobranżowe Romix Spółka Z Ograniczoną Odpowiedzialnością,17,Sulechowska,Trzebiechów,,64-212,yes,,yes,yes,
Horex A. I E. Horoszkiewicz Spółka Jawna (Part. Lotos),,,,WILKANOWO,66-008,yes,yes,yes,,
Deka Spółka Z Ograniczoną Odpowiedzialnością (Part. Bp),57A,,,BOROWINA,67-320,yes,yes,yes,yes,
Dan-Pol Daniel Dworak,20B,Zielonogórska,Brzeźnica,,68-113,yes,,yes,yes,
Pieprzyk Family Spółka Z Ograniczoną  Odpowiedzialnością,19,Górna,Gozdnica,,68-130,yes,,yes,yes,
"Przedsiębiorstwo Handlowo-Usługowe ""Wig"", Krzysztof Grzybowski, Wojciech Gozdawa-Dydyński Spółka Cywilna (Stacja Franchisingowa Pkn Orlen Nr 7633)",123,Czyżówek,Iłowa,,68-120,yes,yes,yes,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością (Stacja Nr 5328),18,Węzeł,Iłowa,,68-120,yes,yes,yes,yes,
"Przedsiębiorstwo Wielobranżowe ""Intertank"" Spółka Z Ograniczoną Odpowiedzialnością (Stacja Franczyzowa Pkn Orlen S.A. Nr 7576)”",61A,Żagańska,Iłowa,,68-120,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 1115,125,Przemysłowa,Lubsko,,68-300,yes,yes,yes,yes,
"Stacja Paliw I Gazu ""Cioch"" Dorota Pastuszak",561/6,"Małomice, Ul. Chrobrego Dz.",Małomice,,67-320,yes,yes,yes,yes,
"Stacja Paliw ""Intermarche""",13,Chrobrego,Szprotawa,,67-300,yes,,yes,,
Maria I Marian Wiesiołek,,,,SZPROTAWA,67-300,,,,yes,
Ekologiczna Stacja Paliw I Gazu Cioch Antoni Cioch,,,,SZPROTAWA,67-300,yes,yes,yes,yes,
Mge Duo Polska Spółka Z Ograniczoną Odpowiedzialnością,4A,Kożuchowska,Szprotawa,,67-300,,,,yes,
Dan-Pol Daniel Dworak,5,Przejazdowa,Szprotawa,,67-300,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 352),,Plac Komuny,Szprotawa,,67-300,yes,yes,yes,yes,
Omega Przedsiębiorstwo Handlowo-Usługowe Spółka Z Ograniczoną Odpowiedzialnoscią,4,Kożuchowska,Szprotawa,,67-300,yes,yes,yes,yes,
"Stacja Paliw ""Jersak""",,,,ŻAGAŃ,68-100,,,,yes,
Eko-Trans-Plus Sp. Z O.O.,26,Kożuchowska,Żagań,,68-100,yes,,yes,yes,
Apexim Ab Paliwa Sp Z O.O. (Stacja Franczyzowa Pkn Orlen S.A. Nr 7592),23,Przyjaciół Żołnierza,Żagań,,68-100,yes,yes,yes,,
Miejski Zakład Komunikacyjny Sp.Z O.O.,6,Młynarska,Żagań,,68-100,yes,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 500,25,Kopernika,Żagań,,68-100,yes,yes,yes,yes,
Dan-Pol Daniel Dworak,9,Żarska,Żagań,,68-100,yes,yes,yes,yes,
"Przedsiębiorstwo Wielobranżowe Marek I Ryszard Zenkner ""Spółka Jawna""",98,Nowogródzka,Żagań,,68-100,yes,yes,yes,yes,
Termika,74,,,BRODY,68-343,,,,yes,
Dan-Pol Daniel Dworak,14,Kościuszki,Brody,,68-343,yes,,yes,yes,
Deka Sp. Z O.O. (Stacja Partnerska Marki Bp),76,Zasieki,Brody (Zasieki),,68-343,yes,yes,yes,,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,77,Zasieki,Brody (Zasieki),,68-343,yes,yes,yes,yes,
Apexim Ab Paliwa Sp Z O.O.,12,Zasieki,Brody (Zasieki),,68-343,yes,yes,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4434),27,Dk,Drozdów,,68-200,yes,yes,yes,yes,
Anwim Spółka Akcyjna (Moya),28,,,JAGŁOWICE,68-212,yes,,yes,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,27,,,JAGŁOWICE,68-212,yes,yes,yes,yes,
Dan-Pol Daniel Dworak,,,,JASIEŃ,68-320,yes,,yes,yes,
Horex A. I E. Horoszkiewicz Sp.J. (Stacja Partnerska Marki Lotos),41,Sienkiewicza,Jasień,,68-320,yes,yes,yes,yes,
Stacja Paliw,,,,JASIEŃ,68-320,yes,yes,yes,yes,
Waldemar Wagner Stacja Paliw (Fr. Orlen),78A,,,KADŁUBIA,68-200,yes,yes,yes,yes,
