operator,addr:housenumber,addr:street,addr:city,addr:place,addr:postcode,fuel:octane_95,fuel:octane_98,fuel:diesel,fuel:lpg,fuel:CNG
"Przedsiębiorstwo Wielobranżowe  ""Alicja"" Spółka Z Ograniczoną Odpowiedzialnością",56,Piastowska,Piława Górna,,58-240,yes,,yes,,
Bp Europa Se Spółka Europejska Oddział W Polsce,2,Kossaka,Głogów,,67-200,yes,yes,yes,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,16,Legnicka,Głogów,,67-200,yes,yes,yes,yes,
Adgaz,7,Magazynowa,Głogów,,67-200,,,,yes,
Anna Wojciechowska,2,Magazynowa,Głogów,,67-200,,,,yes,
Adgaz-Walczak I S-Ka Sp. Z O.O.,2D,Osadników,Głogów,,67-210,,,,yes,
Ligum-Pol,64,Sikorskiego,Głogów,,67-200,,,,yes,
"Gama-Gaz,  Piotr Minkus Wacław Minkus",2B,Strumykowa,Głogów,,67-200,,,,yes,
Marek Welsant Pphu Welt-Mark Marek Welsant,1,Portowa,Głogów,,67-200,yes,,yes,yes,
Carrefour Sp. Z O.O.,12,Poniatowskiego,Głogów,,67-200,yes,yes,yes,yes,
Stacja Paliw Gama A. Jurek Spółka Jawna (Stacja Franczyzowa Pkn Orlen S.A. Nr 7232),6,K.Wielkiego,Głogów,,67-200,yes,yes,yes,yes,
Omega Przedsiębiorstwo Handlowo-Usługowe Spółka Z Ograniczoną Odpowiedzialnoscią,46,Mickiewicza,Głogów,,67-200,yes,yes,yes,yes,
Stacja Paliw,,,,GŁOGÓW,67-200,,,yes,,
"Przedsiębiorstwo Handlowo-Usługowe ""Auto-Stacja"" Społka Z Ograniczoną Odpowiedzialnością",21,Wierzbowa,Głogów,,67-200,yes,yes,yes,,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,3,Aleja Wolności,Głogów,,67-200,yes,yes,yes,yes,
Orlen Spółka Akcyjna Nr 353,66,Sikorskiego,Głogów,,67-200,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 351),6,Główna,Głogów - Serby,,67-200,yes,yes,yes,yes,
Tesco Polska Sp. Z O.O.,15,Piłsudskiego,"Głogów, Ruszowice",,67-200,yes,yes,yes,yes,
Marek Welsant P.P.H.U. Welt-Mark Marek Welsant,191,Główna,"Głogów, Serby",,67-200,yes,,yes,yes,
P.H.U. Piotr Minkus,1,Główna,Głogów-Serby,,67-200,,,,yes,
"Przedsiębiorstwo Wielobranżowe  ""Pieprzyk"" Spółka Z Ograniczoną Odpowiedzialnością",1,Obwodowa,Jaczów,,67-205,yes,yes,yes,yes,
"Pw ""Pieprzyk""",1,Główna 1 / Obwodowa,"Jaczów,  Gm. Jerzmanowa",,67-200,,,,yes,
Gama-Gaz,,,,JERZMANOWA,67-222,,,,yes,
Stacja Paliw,,,,JERZMANOWICE,67-222,,,,yes,
Stacja Paliw,,,,KOTLA,67-240,yes,,yes,,
"Przedsiębiorstwo Handlowo-Usługowe ""Auto-Stacja"" Społka Z Ograniczoną Odpowiedzialnością",151,,,ŻUKOWICE,67-200,yes,,yes,,
Phu Auto-Stacja Sp. Z O.O.,151,,,ŻULOWICE,67-231,yes,yes,yes,,
"P.H.U. ""M A T U Z"" Zbigniew Matuszczak",38,Poznańska,Góra,,56-200,yes,,yes,yes,
"Stadnina Koni Dębno Adam Lachera, Ewa Lachera, Żaneta Lachera Sp.J.""Stadnina Koni Dębno"" Adam Lachera, Ewa Lachera, Żaneta Lachera - Spółka Jawna (Fr. Orlen)",80,Wrocławska,Góra,,56-200,yes,yes,yes,yes,
"Stacje Paliw ""Jespol"" - Henryk Jessa (Stacja Partnerska Marki Bp)",4,Al. Jagiellonów,Góra,,56-200,yes,yes,yes,yes,
Jespol,8,Głogowska,Niechlów,,56-215,yes,yes,yes,,
"Antoni Pieprzyk Przedsiębiorstwo Handlowo - Usługowe ""Pieprzyk""",27,Głogowska,Niechlów,,56-215,yes,,yes,yes,
Przedsiębiorstwo Wielobranżowe Pieprzyk Spółka Z Ograniczoną Odpowiedzialnością,30,1-Go Maja,Wąsosz,,56-210,yes,yes,yes,,
"Stadnina Koni Dębno Adam Lachera, Ewa Lachera, Żaneta Lachera Sp.J. (Stacja Franczyzowa Pkn Orlen 7483)",5,Rawica,Wąsosz (Rawica),,56-210,yes,yes,yes,yes,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,21,Jeleniogórska,Bolków,,59-420,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4275),12,Wysokogórska,Bolków,,59-420,yes,yes,yes,yes,
Orlen Spółka Akcyjna Nr Stacji 305,2,Kuziennicza,Jawor,,59-400,yes,yes,yes,yes,
Omega Przedsiębiorstwo Handlowo-Usługowe Spółka Z Ograniczoną Odpowiedzialnoscią,17,Kuziennicza,Jawor,,59-400,yes,yes,yes,yes,
"P.H.U. ""Muller"" B.H.R. Muller, U. Jarosz Spółka Jawna",14C,Wyszyńskiego,Jawor,,59-400,yes,yes,yes,yes,
Ps 369 Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa (Stacja Franczyzowa Pkn Orlen S.A. Nr 7284),7,Szpitalna,Jawor,,59-400,yes,yes,yes,yes,
"Przedsiębiorstwo Wielobranżowe  ""Pieprzyk"" Spółka Z Ograniczoną Odpowiedzialnością",67,Małuszów,Małuszów (Męcinka),,59-424,yes,yes,yes,yes,
“Pollex” Sp. Z O. O.,4A,,,MŚCIWOJÓW,59-407,,,,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,7,,,NIEDASZÓW,59-407,yes,yes,yes,yes,
Przedsiębiorstwo Rolne Adriana Węglewskiego Adrian Węglewski,49,,,PASZOWICE,59-411,yes,yes,yes,yes,
Ps 369 Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa,2,Mierczyce,Wądroże Wielkie,,59-430,yes,,yes,yes,
"P.H.U. ""Müller"", B.H.R. Müller, U. Jarosz, Sp. Jawna",5,,,JAKUSZYCE,58-580,yes,yes,yes,yes,
"P.H.U. ""Müller"", B.H.R. Müller, U. Jarosz, Sp. Jawna",66,Wolności,Jelenia Góra,,58-500,yes,yes,yes,,
Bp Europa Se Spółka Europejska Oddział W Polsce,4,Jana Pawła Ii,Jelenia Góra,,58-500,yes,yes,yes,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością,47,Jana Pawała Ii,Jelenia Góra,,58-506,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 37,86,Konstytucji 3-Go Maja,Karpacz,,58-540,yes,yes,yes,,
Stacja Lpg,5,Łomnicka,Kowary,,58-530,,,,yes,
Spółdzielnia Stw W Bolesławcu - Marka Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,,Rejtana 3,Kowary,,58-530,yes,yes,yes,yes,
"P.H.U. ""Muller"" B.H.R. Muller, U. Jarosz Spółka Jawna",2,Kamiennogórska,Kowary,,58-530,yes,yes,yes,yes,
Proincom Spółka Z Ograniczoną Odpowiedzialnością (Part. Bp),1,Widokowa,Łomnica,,58-508,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 1092),24A,Wojska Polskiego,Mysłakowice,,58-533,yes,yes,yes,yes,
Stacja Auto-Gazu,5A,Turystyczna,Piechowice,,58-573,,,,yes,
"P.H.U. ""Müller"", B.H.R. Müller, U. Jarosz, Sp. Jawna",2D,Jeleniogórska,Piechowice,,58-573,yes,yes,yes,yes,
Spółdzielnia Stw W Bolesławcu (Part. Circle),7,Nowa,Podgórzyn,,58-562,yes,,yes,yes,
"P.H.U. ""Muller"" B.H.R. Muller, U. Jarosz Spółka Jawna",1G,,,RADOMIERZ,58-520,yes,yes,yes,,
"P.H.U. ""Muller"" B.H.R. Muller, U. Jarosz Spółka Jawna",1F,,,RADOMIERZ,58-520,yes,yes,yes,yes,
Pieprzyk Family Spółka Z Ograniczoną  Odpowiedzialnością,2,Lwówecka,Siedlecin,,58-508,yes,,yes,yes,
"Gminna Spółdzielnia ""Samopomoc Chłopska"" W Starej Kamiennicy",50,,,STARA KAMIENICA,58-512,yes,,yes,yes,
Ceton - Stacja Dystrybucji Gazu,5B,Szosa Czeska,Szklarska Poręba,,58-580,,,,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 130,3A,1-Go Maja,Szklarska Poręba,,58-580,yes,yes,yes,,
Sombin Stanisław Tyrała Spółka Jawna,11,Wojska Polskiego,Wleń,,59-810,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 335),48,Boh. Getta,Kamienna Góra,,58-400,yes,yes,yes,yes,
Przedsiębiorstwo Komunikacji Samochodowej Sp. Z O.O.,43,Towarowa,Kamienna Góra,,58-400,yes,,yes,,
Fał Sp.Z O.O. (Intermarche),1A,Spacerowa,Kamienna Góra,,58-400,yes,yes,yes,yes,
"P.H.U. ""Muller"" B.H.R. Muller, U. Jarosz Spółka Jawna",12,Willmanna,Krzeszów,,58-405,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 1109),29,Kamiennogórska,Lubawka,,58-420,yes,,yes,,
Spółdzielnia Kółek Rolniczych,13,Sudecka,Lubawka,,58-420,yes,yes,yes,,
"Przedsiębiorstwo Wielobranżowe  ""Pieprzyk"" Spółka Z Ograniczoną Odpowiedzialnością",58,,,PTASZKÓW-BORÓWNO,58-400,yes,,yes,yes,
Zakład Usług Leśnych W Bystrzycy Kłodzkiej,11,Nadbrzeżna,Bystrzyca Kłodzka,,57-500,,,yes,,
Tomala Spółka Komandytowo-Akcyjna,10,Kłodzka,Bystrzyca Kłodzka,,57-500,yes,,yes,yes,
"Przedsiębiorstwo Wielobranżowe  ""Alicja"" Spółka Z Ograniczoną Odpowiedzialnością",29,Sudecka,Duszniki Zdrój,,57-340,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 124,14A,Sudecka,Duszniki Zdrój,,57-340,yes,yes,yes,yes,
M.G.Ł.A -  Mieczysław Kret,1A,,,JASZKOWA DOLNA,57-312,yes,,yes,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,14,Dusznicka,Kłodzko,,57-300,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 110,4,Moniuszki,Kłodzko,,57-300,yes,,yes,,
Kłodzkodis Sp.Z O.O. (E-Leclerc),1A,Dusznicka,Kłodzko,,57-300,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 112),2,Boguszyn,Kłodzko (Boguszyn),,57-300,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 126),28,Zdrojowa,Kudowa Zdrój,,57-350,yes,,yes,,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,131A,Słone,Kudowa Zdrój,,57-350,yes,,yes,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością (Stacja Nr 6005),,Główna 42,Kudowa Zdrój,,57-350,yes,yes,yes,yes,
Aleksander Rojek Pphu-M Royal,12,Fabryczna,Kudowa Zdrój,,57-350,yes,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 734,133,Słone,Kudowa Zdrój,,57-350,yes,yes,yes,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością,133A,Słone,Kudowa Zdrój,,57-350,yes,,yes,,
Soley Areca Sp.Z O.O. Sp. Komandytowa (Part. Bp),72,Główna,Kudowa-Zdrój,,57-350,yes,yes,yes,yes,
Orlen Spółka Akcyjna Nr 265,54,Kłodzka,Lądek-Zdrój,,57-540,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 1522,17,Warszawska,Międzylesie,,57-530,yes,yes,yes,yes,
Orlen Spółka Akcyjna Nr 240,45A,Niepodległości,Nowa Ruda,,57-400,yes,yes,yes,yes,
"Przedsiębiorstwo Wielobranżowe ""Pieprzyk"" Spółka Z Ograniczoną Odpowiedzialnością",23,Świdnicka,Nowa Ruda,,57-400,yes,yes,yes,yes,
Orkan Spółka Z Ograniczoną Odpowiedzialnością (Intermarche),14A,Kłodzka,Nowa Ruda,,57-402,yes,yes,yes,yes,
"Przedsiębierstwo Handlowo - Usługowe P.H.U. ""Kol - Benz"" Kazimierz Koleśnik",9B,Słupiecka,Nowa Ruda,,57-402,yes,,yes,yes,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,,,,NOWA RUDA,57-400,yes,,yes,yes,
Krystyna Pijarowska Danuta Kraus - Wspólnicy Spółki Cywilnej,46,Kłodzka,Nowa Ruda,,57-400,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4160),5,Kłodzka,Polanica-Zdrój,,57-320,yes,yes,yes,yes,
Agro-Pol Przedsiębiorstow Rolne Władysław Bartosik (Stacja Partnerska Marki Lotos),31A,,,RATNO DOLNE,57-420,yes,yes,yes,yes,
"Maciej Słomiński ""Słomgum"" - Serwis Ogumienia Maciej Słomiński",5,,,SMRECZYNA,57-530,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 304,46A,Kłodzka,Stary Waliszów,,57-500,yes,yes,yes,yes,
Stacaj Paliw Strachocin Aleksandra Lisiewicz,13A,Polna,Stronie Śląskie,,57-550,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 752,121,,,SZALEJÓW DOLNY,57-314,yes,yes,yes,yes,
Krupnik-Tank Sp.Z O.O.,13,Robotnicza,Szczytna,,57-330,yes,,yes,,
Spółdzielnia Usługowo-Handlowa W Ścinawce Średniej,8A,3-Go Maja,Ścinawka Średnia,,57-410,yes,,yes,yes,
Jackpol Spółka Z Ograniczoną Odpowiedzialnością,438/266,Działka Nr,Wolany,,57-320,yes,,yes,,
Przedsiębiorstwo Obrotu Paliw Nafto-Trans Sp.Z O.O.,5,Lubińska,Chojnów,,59-225,yes,,yes,yes,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,70,Legnicka,Chojnów,,59-225,yes,yes,yes,yes,
Stacja Paliw Chojnówka Sp.Z O.O.,1,Fabryczna,Chojnów,,59-225,yes,,yes,yes,
Ben-Gaz Stacja Lpg,,Trasa,Dobroszów,,59-222,,,,yes,
Zoral Spółka Z Ograniczoną Odpowiedzialnością,31,,,GOŁACZÓW,59-225,yes,,yes,yes,
"Przedsiębiorstwo Wielobranżowe  ""Pieprzyk"" Spółka Z Ograniczoną Odpowiedzialnością",88,,,KAWICE,59-230,yes,yes,yes,yes,
"Stacja Paliw Kmk Stanisław Kaśków, Michał Koreń, Mirosław Maj Sp.J.",,,,KAWICE,59-230,yes,yes,yes,,
"P.H.U. ""Bulis"" S.C. Bulski Stanisław Bulska Barbara Bulski Jarosław",72,Koskowice Nr,Koskowice,,59-241,yes,yes,yes,,
Ekonaft - Bolesławiec Sp. Z O. O. (Stacja Franczyzowa Pkn Orlen S.A. Nr 7462),55,Wilczyce,Krotoszyce,,59-223,yes,yes,yes,yes,
Stacja Paliw,,,,LEGNICA,59-230,,,,yes,
"Elba Sp. Jawna - T. Luszniewski, M. Wolski",,,,LEGNICA,59-220,yes,,yes,yes,
Stacja Paliw Biuro Usług Turystycznych Aga-Tur,,,,LEGNICA,59-220,yes,yes,yes,yes,
"Dexpol S.A. Przedsiębiorstwo Produkcyjno-Handlowe Stacja Paliw ""Dex"" Nr 4",,,,NOWA WIEŚ LEGNICKA,59-217,yes,,yes,,
Soley - Areca Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa  (Stacja Franczyzowa Pkn Orlen S.A. Nr 7552),44A,,,NOWA WIEŚ LEGNICKA,59-241,yes,yes,yes,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością (Stacja Nr 5109),64,,,NOWA WIEŚ LEGNICKA,59-222,yes,,yes,yes,
Atut Przedsiębiorstwo Wielobranżowe Spółka Z Ograniczoną Odpowiedzialnością (Part. Bp),1B,Szwedzka,Okmiany (Chojnów),,59-225,yes,yes,yes,yes,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,95,Wrocławska,Prochowice,,59-230,yes,,yes,yes,
Przedsiębiorstwo Wielobranżowe  Pieprzyk Spółka Z Ograniczoną Odpowiedzialnością,5,Legnicka,Spalona,,59-216,yes,,yes,yes,
Stacja Lpg,14,,,ZIEMNICE-GRZYBIANY,59-216,,,,yes,
Spółdzielnia Stw W Bolesławcu - Marka Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,51A,,,BAWOROWO,59-820,yes,yes,yes,yes,
Stacja Paliw Lpg „Preem” Spółdzielnia Stw W Bolesławcu,30,Kopernika,Lubań,,59-800,yes,,yes,yes,
Firma Handlowo Usługowa Iskierka Borek Spółka Jawna (Stacja Shell Polska Sp. Z O.O. Nr 8536),21,Rybacka,Lubań,,59-800,yes,,yes,yes,
"Fphu ""Darkon"" Małgorzata Gonczowska",3,Papieża Jana Pawła Ii,Lubań,,59-800,yes,,yes,yes,
Firma Elena Marianna Papanaum (Stacja Franczyzowa Pkn Orlen S.A. Nr 7061),5,Cmentarna,Lubań,,59-800,yes,yes,yes,yes,
Watis Polska Spółka Z Ograniczoną Odpowiedzialnością,14,Jeleniogórska,Lubań,,59-800,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4194),32,Rybacka,Lubań,,59-800,yes,yes,yes,yes,
"Przedsiębiorstwo Wielobranżowe  ""Pieprzyk"" Spółka Z Ograniczoną Odpowiedzialnością",23,,,NOWA KARCZMA,59-818,yes,,yes,yes,
Lpg W Olszynie D.Chołod,93,Wolności,Olszyna,,59-830,,,,yes,
Lpg Koch-Gaz,16,3-Go Maja,Olszyna,,59-830,,,,yes,
Margo - Marzena Grodzka,,,,PLATERÓWKA,59-816,yes,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 732),49A,Jałowiec,Świdnica,,59-800,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 318,8,11-Go Listopada,Świeradów-Zdrój,,59-640,yes,yes,yes,yes,
Stacja Paliw,,,,CHOBIENIA,59-305,,,yes,,
"Firma Handlowo-Usługowa ""Piotr"" Piotr Niciejewski  (Part. Bp)",78,Legnicka,Lubin,,59-300,yes,yes,yes,yes,
Pw Pieprzyk Sp.Z O.O,172,Skłodowskiej-Curie,Lubin,,59-300,yes,yes,yes,yes,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,1,Piłsudskiego,Lubin,,59-300,yes,yes,yes,yes,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,1,Konstytucji 3-Go Maja,Lubin,,59-300,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 1208,2,Zielonogórska,Lubin,,59-300,yes,yes,yes,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,5,Jana Pawła Ii,Lubin,,59-300,yes,yes,yes,yes,
