LP.;RODZAJ PODMIOTU;NAZWA;ADRES;MIEJSCOWOŚĆ;KOD POCZTOWY;WOJEWÓDZTWO;POWIAT;RON95;RON98;ON;BIOES;B20;E10;BIO2;BIO3;BIO4;LPG;CNG
698;STACJA PALIW;OLKOP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;LIPOWA 8;KRUSZWICA;88-150;KUJAWSKO-POMORSKIE;INOWROCŁAWSKI;X;;X;;;;;;;X;
699;STACJA PALIW;STCAJ PALIW GENERON MARCIN ŚRÓBKA;CHEŁMCE 134;KRUSZWICA - CHEŁMCE;88-121;KUJAWSKO-POMORSKIE;INOWROCŁAWSKI;X;;X;;;;;;;X;
700;STACJA PALIW;SPRZEDAŻ PALIW PŁYNNYCH MOTŁAWSKA LUCYNA;TOPOLOWA 2A;PAKOŚĆ;88-170;KUJAWSKO-POMORSKIE;INOWROCŁAWSKI;X;X;X;;;;;;;X;
701;STACJA PALIW;STACJA PALIW ANETA KUŚ-SZYCH;ROJEWO 142;ROJEWO;87-111;KUJAWSKO-POMORSKIE;INOWROCŁAWSKI;X;;X;;;;;;;X;
702;STACJA PALIW;STACJA PALIW FULL-TANK JACEK ZIELIŃSKI;RUCEWO 43;RUCEWO;88-180;KUJAWSKO-POMORSKIE;INOWROCŁAWSKI;X;;X;;;;;;;X;
703;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 4064);RYBITWY 114;RYBITWY;88-170;KUJAWSKO-POMORSKIE;INOWROCŁAWSKI;X;X;X;;;;;;;X;
704;STACJA PALIW;OLKOP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;SUCHATÓWKA 15;SUCHATÓWKA;88-140;KUJAWSKO-POMORSKIE;INOWROCŁAWSKI;X;X;X;;;;;;;X;
705;STACJA PALIW;"NAFTPOL" ANNA ZWIEWKA, ARKADIUSZ ZWIEWKA SPÓŁKA JAWNA (STACJA PARTNERSKA MARKI BP);SZOSA BYDGOSKA 2;ZŁOTNIKI KUJAWSKIE;88-180;KUJAWSKO-POMORSKIE;INOWROCŁAWSKI;X;X;X;;;;;;;X;
706;STACJA PALIW;"ALFA" SP. Z.O.O.;WOJSKA POLSKIEGO;BOBROWNIKI;87-617;KUJAWSKO-POMORSKIE;LIPNOWSKI;;;;;;;;;;X;
707;STACJA PALIW;GEOMAR MARIUSZ RUTKOWSKI;I ARMII WOJSKA POLSKIEGO 4;BOBROWNIKI;87-617;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;;X;;;;;;;X;
708;STACJA PALIW;FIRMA HANDLOWO-USŁUGOWA "DOBGAZ" S.C. K. BIAŁOSKÓRSKI, ZB. BŁASZKIEWICZ;CHALIN 1A;CHALIN;87-606;KUJAWSKO-POMORSKIE;LIPNOWSKI;;;;;;;;;;X;
709;STACJA PALIW;ADAM BONOWICZ  AGNIESZKA BONOWICZ;CHROSTKOWO NOWE;CHROSTKOWO;87-602;KUJAWSKO-POMORSKIE;LIPNOWSKI;;;;;;;;;;X;
710;STACJA PALIW;KRYSTYNA STROISZ;WIERZNICA;DOBRZYN N/WISŁĄ;87-610;KUJAWSKO-POMORSKIE;LIPNOWSKI;;;;;;;;;;X;
711;STACJA PALIW;ELJOR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ;ZDUŃSKA 4A;DOBRZYŃ N/ W;87-610;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;X;X;;;;;;;X;
712;STACJA PALIW;JULIA WSZELAKI, PAWEŁ WSZELAKI - WSPÓLNICY SPÓŁKI CYWILNEJ;JANISZEWO 54;JANISZEWO;87-602;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;X;X;;;;;;;X;
713;STACJA PALIW;PRZEDSIĘBIORSTWO HANDLOWO – USŁUGOWE "GALON" KAZIEMIERZ GÓRNIEWICZ, SABINA GÓRNIEWICZ, AGNIESZKA GÓRNIEWICZ SPÓŁKA CYWILNA;KAMIEŃ KOTOWY16A;KAMIEŃ KOTOWY;87-605;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;X;X;;;;;;;X;
714;STACJA PALIW;"ELIOR" SP. J. ALEKSANDER JAWORSKI, ELŻBIETA JAWORSKA, WIKTOR JAWORSKI;LUBIN 88;KIKÓŁ;87-620;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;;X;;;;;;;X;
715;STACJA PALIW;LOTOS PALIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;SZOSA TORUŃSKA 23;KIKÓŁ;87-620;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;X;X;;;;;;;X;
716;STACJA PALIW;"LOTOS PALIWA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;SZOSA TORUŃSKA 33;KIKÓŁ;87-620;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;X;X;;;;;;;X;
717;STACJA PALIW;ELJOR;LUBIN;KIKÓŁ;87-620;KUJAWSKO-POMORSKIE;LIPNOWSKI;;;X;;;;;;;;
718;STACJA PALIW;PHU JAWORSKI SP. Z O.O.,;RADOMICE;LIPNO;87-600;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;X;X;;;;;;;X;
719;STACJA PALIW;P.P.H.U. " ALMAR" - ANDRZEJ RAFIŃSKI;SZKOLNA;LIPNO;87-600;KUJAWSKO-POMORSKIE;LIPNOWSKI;;;;;;;;;;X;
720;STACJA PALIW;MIECZYSŁAW MARKUSZEWSKI PPH MARK GAZ;JASTRZĘBSKA 21;LIPNO;87-600;KUJAWSKO-POMORSKIE;LIPNOWSKI;;;;;;;;;;X;
721;STACJA PALIW;AGNIESZKA I SŁAWOMIR DUBANIEWICZ;PIĄTKI;LIPNO;87-620;KUJAWSKO-POMORSKIE;LIPNOWSKI;;;;;;;;;;X;
722;STACJA PALIW;PPUH "ADOPOL" EKSPORT-IMPORT ROMAN KRYGIER;WYSZYŃSKIEGO 46;LIPNO;87-600;KUJAWSKO-POMORSKIE;LIPNOWSKI;;;;;;;;;;X;
723;STACJA PALIW;"WASBRUK" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;SPÓŁDZIELCZA 1;LIPNO;87-600;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;;X;;;;;;;X;
724;STACJA PALIW;PRZEDSIĘBIORSTWO ROBÓT DROGOWYCH SP. Z O.O (STACJA FRANCZYZOWA PKN ORLEN S.A. NR 7191);WOJSKA POLSKIEGO 8;LIPNO;87-600;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;X;X;;;;;;;X;
725;STACJA PALIW;WIKSBUD SP.Z O.O. (FR. ORLEN);GŁODOWO;LIPNO;87-600;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;X;X;;;;;;;X;
726;STACJA PALIW;PHU RAVIS - WODZYŃSCY SP. J.- MARKA CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;SKĘPSKA 31;LIPNO;87-600;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;X;X;;;;;;;X;
727;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 272);3-GO MAJA 1A;LIPNO;87-600;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;X;X;;;;;;;;
728;STACJA PALIW;STACJA PALIW;ŁOCHOCIN;ŁOCHOCIN;87-615;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;;X;;;;;;;;
729;STACJA PALIW;PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO-USŁUGOWE "JAWORSKI" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIUĄ (STACJA PARTNERSKA MARKI BP);RADOMICE;RADOMICE;87-600;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;X;X;;;;;;;X;
730;STACJA PALIW;ZAKŁAD PRODUKCYJNO-HANDLOWO-USŁUGOWY KAMA KOWALSKI ANTONI PIOTR KOWALSKI (MOYA);RUMUNKI SKĄPSKIE 28A;RUMUNKI SKĄPSKIE;87-631;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;X;X;;;;;;;X;
731;STACJA PALIW;ZAKŁAD PRODUKCYJNO-HANDLOWO-USŁUGOWY "KAMA KOWALSKI" ANTONI PIOTR KOWALSKI (PART. BP);WARSZAWSKA 1;SKĘPE;87-630;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;X;X;;;;;;;X;
732;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 763);WARSZAWSKA 4;SKĘPE;87-630;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;X;X;;;;;;;X;
733;STACJA PALIW;PRZEDSIĘBIORSTWO WIELOBRANŻOWE "EURO-TRANS-BUD" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;3-GO MAJA 32B;TŁUCHOWO;87-605;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;;X;;;;;;;X;
734;STACJA PALIW;"ARPAL" JADGIGA ŚWIERCZYŃSKA;WROCŁAWSKA 18;WIELGIE;87-603;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;;X;;;;;;;X;
735;STACJA PALIW;JAWORSKI PPHU SP. Z O.O.;ZADUSZNIKI 133;WIELGIE;87-603;KUJAWSKO-POMORSKIE;LIPNOWSKI;X;X;X;;;;;;;X;
736;STACJA PALIW;PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE "KRYSTYNA" KRYSTYNA STROISZ - STACJA LPG;WIERZNICA;WIERZNICA;;KUJAWSKO-POMORSKIE;LIPNOWSKI;;;;;;;;;;X;
737;STACJA PALIW;TRANSPORT GŁOWACKI EMILIA MŁODZIK;BYDGOSKA 5;DĄBROWA;88-306;KUJAWSKO-POMORSKIE;MOGILEŃSKI;X;X;X;;;;;;;X;
738;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 1491);DROGA NR 25 144;JEZIORA WIELKIE;88-324;KUJAWSKO-POMORSKIE;MOGILEŃSKI;X;X;X;;;;;;;X;
739;STACJA PALIW;STACJA PALIW;MARCINKOWO;MARCINKOWO;88-330;KUJAWSKO-POMORSKIE;MOGILEŃSKI;X;;X;;;;;;;;
740;STACJA PALIW;"TRANS-KOL-PALIWA" SP. Z O.O. (STACJA FRANCZYZOWA PKN ORLEN S.A. NR 7497);DK15, GORYSZEWO 29;MOGILNO;88-300;KUJAWSKO-POMORSKIE;MOGILEŃSKI;X;X;X;;;;;;;X;
741;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 4351;WITOSA 6A;MOGILNO;88-300;KUJAWSKO-POMORSKIE;MOGILEŃSKI;X;X;X;;;;;;;X;
742;STACJA PALIW;FIRMA HANDLOWO-USŁUGOWA "NICOLE" SYLWIA PAPIERZ;KOŚCIUSZKI 38;MOGILNO;88-300;KUJAWSKO-POMORSKIE;MOGILEŃSKI;X;;X;;;;;;;X;
743;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 4015;KOŚCIUSZKI 38B;MOGILNO;88-300;KUJAWSKO-POMORSKIE;MOGILEŃSKI;X;X;X;;;;;;;X;
744;STACJA PALIW;P.P.H.U.AUTORYZOWANY ZAKŁAD NAPRAWY I PRZEGLĄDU TECHNICZNEGO GAŚNIC "INTER-POŻ" ROMAN GWIAZDA (STACJA PARTNERSKA MARKI BP);PADNIEWKO 3A;PADNIEWKO (MOGILNO);88-300;KUJAWSKO-POMORSKIE;MOGILEŃSKI;X;X;X;;;;;;;X;
745;STACJA PALIW;P.P.H.U.AUTORYZOWANY ZAKŁAD NAPRAWY I PRZEGLĄDU TECHNICZNEGO GAŚNIC "INTER-POŻ" ROMAN GWIAZDA (STACJA PARTNERSKA MARKI BP);PADNIEWKO 2;PADNIEWKO (MOGILNO);88-300;KUJAWSKO-POMORSKIE;MOGILEŃSKI;X;X;X;;;;;;;X;
746;STACJA PALIW;WATIS POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1A;SŁAWSKO DOLNE;88-320;KUJAWSKO-POMORSKIE;MOGILEŃSKI;X;X;X;;;;;;;X;
747;STACJA PALIW;WATIS POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;SŁAWSKO DOLNE;STRZELNO;88-320;KUJAWSKO-POMORSKIE;MOGILEŃSKI;X;X;X;;;;;;;X;
748;STACJA PALIW;OLKOP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KARDYNAŁA WYSZYŃSKIEGO 48;STRZELNO;88-320;KUJAWSKO-POMORSKIE;MOGILEŃSKI;X;;X;;;;;;;X;
749;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 263);POZNAŃSKA 23;KCYNIA;89-240;KUJAWSKO-POMORSKIE;NAKIELSKI;X;X;X;;;;;;;X;
750;STACJA PALIW;"DULCET" SPÓŁKA JAWNA;SZUBIŃSKA 13A;KCYNIA;89-240;KUJAWSKO-POMORSKIE;NAKIELSKI;X;;X;;;;;;;X;
751;STACJA PALIW;PPHU WIENIU WIESŁAW KSIĄŻEK;KRUKÓWKO 35;KRUKÓWKO;89-115;KUJAWSKO-POMORSKIE;NAKIELSKI;;;X;;;;;;;X;
752;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 1053);NAKIELSKA 6A;MROCZA;89-115;KUJAWSKO-POMORSKIE;NAKIELSKI;X;;X;;;;;;;;
753;STACJA PALIW;PRZEDSIĘBIORSTWO SJ SP.Z O.O.;BIELAWY 27;NAKŁO N. NOTECIĄ;89-100;KUJAWSKO-POMORSKIE;NAKIELSKI;X;;X;;;;;;;X;
754;STACJA PALIW;PETRONAK STANISŁAW I MIROSŁAWA KACZMAREK SP.J.;PÓŁWIEJSKA 2;NAKŁO N/ NOTECIĄ;89-100;KUJAWSKO-POMORSKIE;NAKIELSKI;X;;X;;;;;;;X;
755;STACJA PALIW;STACJA PALIW PUH WŁ. ADAM KOŚCIANEK;BIELAWY 27;NAKŁO NAD NOTECIĄ;89-100;KUJAWSKO-POMORSKIE;NAKIELSKI;X;;X;;;;;;;X;
756;STACJA PALIW;EDGAZ MONIKA KUŚMIEREK;WZGÓRZE WODOCIĄGOWA 59;NAKŁO NAD NOTECIĄ;89-100;KUJAWSKO-POMORSKIE;NAKIELSKI;;;;;;;;;;X;
757;STACJA PALIW;WATIS POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;POZNAŃSKA 16;NAKŁO NAD NOTECIĄ;89-100;KUJAWSKO-POMORSKIE;NAKIELSKI;X;X;X;;;;;;;X;
758;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 4401;POZNAŃSKA 7;NAKŁO NAD NOTECIĄ;89-100;KUJAWSKO-POMORSKIE;NAKIELSKI;X;X;X;;;;;;;X;
759;STACJA PALIW;ORLEN SPÓŁKA AKCYJNA NR 547;NOWA 16;NAKŁO NAD NOTECIĄ;89-100;KUJAWSKO-POMORSKIE;NAKIELSKI;X;X;X;;;;;;;X;
760;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 4139;JANA PAWŁA II 44;SZUBIN;89-200;KUJAWSKO-POMORSKIE;NAKIELSKI;X;X;X;;;;;;;X;
761;STACJA PALIW;MAŁLES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KCYŃSKA 45;SZUBIN;89-200;KUJAWSKO-POMORSKIE;NAKIELSKI;X;X;X;;;;;;;X;
762;STACJA PALIW;POL-DAW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ;KAZIŃSKA 15;ŚLESIN;89-121;KUJAWSKO-POMORSKIE;NAKIELSKI;X;;X;;;;;;;X;
763;STACJA PALIW;ORLEN SPÓŁKA AKCYJNA NR 1069;WARZYSKA 103;WARZYSKA;89-110;KUJAWSKO-POMORSKIE;NAKIELSKI;X;X;X;;;;;;;X;
764;STACJA PALIW;DULCET SPÓŁKA JAWNA (STACJA PARTNERSKA MARKI BP);LETNIA 6;WĄSOSZ (SZUBIN);89-200;KUJAWSKO-POMORSKIE;NAKIELSKI;X;X;X;;;;;;;X;
765;STACJA PALIW;WATIS POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;POZNAŃSKA 34;ZAMOŚĆ;89-200;KUJAWSKO-POMORSKIE;NAKIELSKI;X;X;X;;;;;;;X;
766;STACJA PALIW;PETROCAR ANDRZEJ GANAS;KOŚCIELNA 72;BYTOŃ;88-231;KUJAWSKO-POMORSKIE;RADZIEJOWSKI;X;;X;;;;;;;X;
767;STACJA PALIW;STACJA PALIW - DĘBY RYBACKI STEFAN;DĘBY 94;DĘBY (DOBRE);88-210;KUJAWSKO-POMORSKIE;RADZIEJOWSKI;X;;X;;;;;;;X;
768;STACJA PALIW;ANGAMA SP.Z O.O.;POŁUDNIOWA 1;DOBRE;88-210;KUJAWSKO-POMORSKIE;RADZIEJOWSKI;X;X;X;;;;;;;X;
769;STACJA PALIW;STACJA PALIW PTH AUTO-BUS;DWORCOWA;DOBRE KUJAWSKIE;88-210;KUJAWSKO-POMORSKIE;RADZIEJOWSKI;X;;X;;;;;;;;
770;STACJA PALIW;STACJA PALIW SPÓŁDZIELNI;WŁOCŁAWSKA 1;OSIĘCINY;88-220;KUJAWSKO-POMORSKIE;RADZIEJOWSKI;X;;X;;;;;;;X;
771;STACJA PALIW;PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWE "GRANT" -  GRZEGORZ PIETRZAK;KALISKA 39;PIOTRKÓW KUJAWSKI;88-230;KUJAWSKO-POMORSKIE;RADZIEJOWSKI;;;;;;;;;;X;
772;STACJA PALIW;PETROMAN II SP. Z O.O.;SŁONECZNA 21;PIOTRKÓW KUJAWSKI;88-230;KUJAWSKO-POMORSKIE;RADZIEJOWSKI;X;X;X;;;;;;;X;
773;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 1049);KALISKA 73;PIOTRKÓW KUJAWSKI;88-230;KUJAWSKO-POMORSKIE;RADZIEJOWSKI;X;X;X;;;;;;;X;
774;STACJA PALIW;PERTOMAN PALIWA SP. Z O.O.;SŁONECZNA 21;PIOTRKÓW KUJAWSKI;88-230;KUJAWSKO-POMORSKIE;RADZIEJOWSKI;X;X;X;;;;;;;X;
775;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 833);KOMUNALNA 21;RADZIEJÓW;88-200;KUJAWSKO-POMORSKIE;RADZIEJOWSKI;X;X;X;;;;;;;X;
776;STACJA PALIW;OLKOP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;WYZWOLENIA 63;RADZIEJÓW;87-410;KUJAWSKO-POMORSKIE;RADZIEJOWSKI;X;;X;;;;;;;X;
777;STACJA PALIW;WASBRUK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;BRZESKA 51A;RADZIEJÓW;88-200;KUJAWSKO-POMORSKIE;RADZIEJOWSKI;X;;X;;;;;;;X;
778;STACJA PALIW;PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE MARES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (PART. LOTOS);SAMSZYCE;SAMSZYCE;88-210;KUJAWSKO-POMORSKIE;RADZIEJOWSKI;X;X;X;;;;;;;X;
779;STACJA PALIW;STACJA PALIW "TRANS-KOL-PALIWA" SP. Z O.O.;TOPÓLKA 58;TOPÓLKA;87-875;KUJAWSKO-POMORSKIE;RADZIEJOWSKI;X;X;X;;;;;;;;
780;STACJA PALIW;NAFTEX;WITOWO;WITOWO;88-232;KUJAWSKO-POMORSKIE;RADZIEJOWSKI;X;;X;;;;;;;;
781;STACJA PALIW;PHU SOJAR A.A.J. ROMANOWSCY SPÓŁKA JAWNA;OKALEWO 133;OKALEWO;87-510;KUJAWSKO-POMORSKIE;RYPIŃSKI;X;;X;;;;;;;X;
782;STACJA PALIW;OLKOP SP.Z O.O.;OSTROWITE 99A;OSTROWITE;87-522;KUJAWSKO-POMORSKIE;RYPIŃSKI;X;;X;;;;;;;X;
783;STACJA PALIW;OLKOP BIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;RADZIKI DUŻE 67B;RADZIKI DUŻE;87-336;KUJAWSKO-POMORSKIE;RYPIŃSKI;X;;X;;;;;;;X;
784;STACJA PALIW;STACJA PALIW - WITOLD PAŚNIEWSKI;ROGOWO 63;ROGOWO;87-515;KUJAWSKO-POMORSKIE;RYPIŃSKI;X;;X;;;;;;;X;
785;STACJA PALIW;ESKA SP.Z O.O.;MŁAWSKA 53;RYPIN;87-500;KUJAWSKO-POMORSKIE;RYPIŃSKI;;;;;;;;;;X;
786;STACJA PALIW;OLKOP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;LIPNOWSKA 21B;RYPIN;87-500;KUJAWSKO-POMORSKIE;RYPIŃSKI;X;;X;;;;;;;X;
787;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 4518;MŁAWSKA 51A;RYPIN;87-500;KUJAWSKO-POMORSKIE;RYPIŃSKI;X;X;X;;;;;;;X;
788;STACJA PALIW;JBM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ - SPÓŁKA KOMANDYTOWA;TARGOWA 12;SKRWILNO;87-510;KUJAWSKO-POMORSKIE;RYPIŃSKI;X;;X;;;;;;;;
789;STACJA PALIW;LOTOS PALIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;STARORYPIN PRYWATNY 49;STARORYPIN PRYWATNY;87-500;KUJAWSKO-POMORSKIE;RYPIŃSKI;X;X;X;;;;;;;X;
790;STACJA PALIW;STACJA LPG;STĘPOWO 91B;STĘPOWO;87-500;KUJAWSKO-POMORSKIE;RYPIŃSKI;;;;;;;;;;X;
791;STACJA PALIW;PRZEDSIĘBIORSTWO TRANSPORTOWO-HANDLOWE JERZY BARWIŃSKI;TRĄBIN 42;TRĄBIN;87-522;KUJAWSKO-POMORSKIE;RYPIŃSKI;;;X;;;;;;;;
792;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 54;SĘPOLEŃSKA 17;KAMIEŃ KRAJEŃSKI;89-430;KUJAWSKO-POMORSKIE;SĘPOLEŃSKI;X;X;X;;;;;;;X;
793;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 279;SIENKIEWICZA 106;SĘPÓLNO KRAJEŃSKIE;89-400;KUJAWSKO-POMORSKIE;SĘPOLEŃSKI;X;X;X;;;;;;;X;
794;STACJA PALIW;FIRMA HANDLOWO-USŁUGOWA "AGA-OIL" AGNIESZKA WOŹNIAK;KORONOWSKA  3;SĘPÓLNO KRAJEŃSKIE;89-400;KUJAWSKO-POMORSKIE;SĘPOLEŃSKI;X;;X;;;;;;;X;
795;STACJA PALIW;FIRMA HANDLOWO - USŁUGOWA "PIOTR" PIOTR NICIEJEWSKI (STACJA PARTNERSKA MARKI BP);CHOJNICKA 29;SĘPÓLNO KRAJEŃSKIE;89-400;KUJAWSKO-POMORSKIE;SĘPOLEŃSKI;X;X;X;;;;;;;X;
796;STACJA PALIW;"ROHDEX";NOWA 3;SOŚNO;89-412;KUJAWSKO-POMORSKIE;SĘPOLEŃSKI;;;;;;;;;;X;
797;STACJA PALIW;NAFTOPROJBUD SP. Z O.O.;NOWA 5;SOŚNO;89-412;KUJAWSKO-POMORSKIE;SĘPOLEŃSKI;X;;X;;;;;;;X;
798;STACJA PALIW;MARZENA PAWŁOWSKA, BOGDAN PAWŁOWSKI - WSPÓŁNICY SPÓŁKI CYWILNEJ;SYPNIEWO 19A;SYPNIEWO;89-422;KUJAWSKO-POMORSKIE;SĘPOLEŃSKI;X;;X;;;;;;;X;
799;STACJA PALIW;PHU ALEK ALOJZY LUTOBORSKI;WAŁDOWO 8;WAŁDOWO;89-405;KUJAWSKO-POMORSKIE;SĘPOLEŃSKI;X;;X;;;;;;;X;
800;STACJA PALIW;TWT LEMIX SP. Z O.O.;KORONOWSKA 1;WĄWELNO;89-413;KUJAWSKO-POMORSKIE;SĘPOLEŃSKI;X;;X;;;;;;;X;
801;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 837);GDAŃSKA 11;WIĘCBORK;89-410;KUJAWSKO-POMORSKIE;SĘPOLEŃSKI;X;X;X;;;;;;;X;
802;STACJA PALIW;ANWIM SPÓŁKA AKCYJNA;ZŁOTOWSKA 1;WITUNIA;89-410;KUJAWSKO-POMORSKIE;SĘPOLEŃSKI;X;;X;;;;;;;X;
803;STACJA PALIW;DYSTRYBUCJA GAZU POLGAZ KATARZYNA PILARSKA;BIELNO 1B;BIELNO;86-131;KUJAWSKO-POMORSKIE;ŚWIECKI;X;;X;;;;;;;X;
804;STACJA PALIW;ANDRZEJ KOŃCZALSKI PRZEDSIĘBIORSTWO AWIX-OIL;WYBUDOWANIE 1B;BUKOWIEC;86-122;KUJAWSKO-POMORSKIE;ŚWIECKI;X;;X;;;;;;;X;
805;STACJA PALIW;OLKOP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;BZOWO 3A;BZOWO;86-160;KUJAWSKO-POMORSKIE;ŚWIECKI;X;;X;;;;;;;X;
806;STACJA PALIW;EKO-TANK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DOLNA GRUPA 68A;DOLNA GRUPA;86-134;KUJAWSKO-POMORSKIE;ŚWIECKI;X;X;X;;;;;;;X;
807;STACJA PALIW;EKO-TANK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;BYDGOSKA 1A;DRZYCIM;86-140;KUJAWSKO-POMORSKIE;ŚWIECKI;X;X;X;;;;;;;X;
808;STACJA PALIW;STACJA PALIW;ŚWIECKA 32;GRUCZNO;86-111;KUJAWSKO-POMORSKIE;ŚWIECKI;X;;X;;;;;;;;
809;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 1052;GRUCZNO, TRASA NR 5;GRUCZNO;86-111;KUJAWSKO-POMORSKIE;ŚWIECKI;X;X;X;;;;;;;X;
810;STACJA PALIW;EKO-TANK SP Z OO;LASKOWICKA 6;JEŻEWO;86-131;KUJAWSKO-POMORSKIE;ŚWIECKI;X;;X;;;;;;;;
811;STACJA PALIW;HEGMAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;OSKA 20;LASKOWICE;86-130;KUJAWSKO-POMORSKIE;ŚWIECKI;X;;X;;;;;;;X;
812;STACJA PALIW;SPÓŁ. ROLNICZO-HANDLOWA;TARGOWA  4;LNIANO;86-141;KUJAWSKO-POMORSKIE;ŚWIECKI;X;;X;;;;;;;X;
813;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 4214;MICHALE 113B;MICHALE;86-134;KUJAWSKO-POMORSKIE;ŚWIECKI;X;X;X;;;;;;;X;
