LP.;RODZAJ PODMIOTU;NAZWA;ADRES;MIEJSCOWOŚĆ;KOD POCZTOWY;WOJEWÓDZTWO;POWIAT;RON95;RON98;ON;BIOES;B20;E10;BIO2;BIO3;BIO4;LPG;CNG
25;STACJA PALIW;JAN MATEJEWICZ STACJA PALIW CETAN;LUBAŃSKA 14;OSIECZNICA;59-724;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;;X;;;;;;;X;
26;STACJA PALIW;SPÓŁDZIELNIA STW W BOLESŁAWCU - MARKA CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;OSŁA 1F;OSŁA;59-706;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;X;X;;;;;;;X;
27;STACJA PALIW;"SOLEY - ARECA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ" SPÓŁKA KOMANDYTOWA (FR. ORLEN);AUTOSTRADA A-4/A-18;OSŁA;59-706;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;X;X;;;;;;;X;
28;STACJA PALIW;SPÓŁDZIELNIA STW W BOLESŁAWCU (STACJA FRANCZYZOWA PKN ORLEN S.A. NR 7082);BOLESŁAWICKA 56;TRZEBIEŃ;59-707;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;X;X;;;;;;;X;
29;STACJA PALIW;"DAN-POL" DANIEL DWORAK;1;WILCZY LAS;59-720;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;;X;;;;;;;X;
30;STACJA PALIW;DAN-POL DANIEL DWORAK;WILCZY LAS 1;WILCZY LAS;59-720;DOLNOŚLĄSKIE;BOLESŁAWIECKI;X;;X;;;;;;;X;
31;STACJA PALIW;STACJA PALIW AS-24;KOLEJOWA;WYKROTY;59-730;DOLNOŚLĄSKIE;BOLESŁAWIECKI;;;X;;;;;;;;
32;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 4135);SIKORSKIEGO 21;BIELAWA;58-260;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;X;X;X;;;;;;;X;
33;STACJA PALIW;RECO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;ŻEROMSKIEGO 5;BIELAWA;58-260;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;X;X;X;;;;;;;X;
34;STACJA PALIW;DRUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCI (INTERMARCHE);ANDERSA 44 (BRLINGA);BIELAWA;58-260;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;X;X;X;;;;;;;X;
35;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 1110);WROCŁAWSKA 57;DZIERŻONIÓW;58-200;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;X;X;X;;;;;;;X;
36;STACJA PALIW;ZAKŁAD GAZOWNICZY W WAŁBRZYCHU ODDZIAŁ W DZIERŻONIOWIE;KILIŃSKIEGO 18;DZIERŻONIÓW;58-203;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;;;;;;;;;;;X
37;STACJA PALIW;PRZEDSIĘBIORSTWO WIELOBRANŻOWE "ALICJA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;BATALIONÓW CHŁOPSKICH 95A;DZIERŻONIÓW;58-200;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;X;;X;;;;;;;X;
38;STACJA PALIW;DEDAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA;CICHA 4;DZIERŻONIÓW;58-200;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;;;X;;;;;;;;
39;STACJA PALIW;PRZEDSIĘBIORSTWO KOMUNIKACJI SAMOCHODOWEJ W DZIERŻONIOWIE S.A. W UPADŁOŚCI LIKWIDACYJNEJ;KILINSKIEGO 47A;DZIERŻONIÓW;58-200;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;;;X;;;;;;;;
40;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 636;BATALIONÓW CHŁOPSKICH 108;DZIERŻONIÓW;58-200;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;X;X;X;;;;;;;X;
41;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (STACJA NR 5503);ŚWIDNICKA 69;DZIERŻONIÓW;58-200;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;X;X;X;;;;;;;X;
42;STACJA PALIW;EKO-BIS - WOJCIECH SZKARŁAT S.C;KŁODZKA 10A;ŁAGIEWNIKI;58-210;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;X;;X;;;;;;;X;
43;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 736);WROCŁAWSKA 25;ŁAGIEWNIKI;58-210;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;X;X;X;;;;;;;X;
44;STACJA PALIW;"TANK" - SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (PART. BP);OSIEDLE PODMIEJSKIE 1A;NIEMCZA;58-230;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;X;X;X;;;;;;;X;
45;STACJA PALIW;MOC JAKOŚĆ ZYSK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;ŚWIDNICKA 1;NOWIZNA;58-203;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;X;X;X;;;;;;;X;
46;STACJA PALIW;"TANK" - SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (FR. ORLEN);PISKORZOWSKA 3;PIESZYCE;58-250;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;X;X;X;;;;;;;X;
47;STACJA PALIW;PH CYGAN STANISŁAW;PIŁAWA GÓRNA;PIŁAWA GÓRNA;58-240;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;;;;;;;;;;X;
48;STACJA PALIW;PRZEDSIĘBIORSTWO WIELOBRANŻOWE  "ALICJA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PIASTOWSKA 56;PIŁAWA GÓRNA;58-240;DOLNOŚLĄSKIE;DZIERŻONIOWSKI;X;;X;;;;;;;;
49;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;KOSSAKA 2;GŁOGÓW;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;X;X;X;;;;;;;X;
50;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;LEGNICKA 16;GŁOGÓW;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;X;X;X;;;;;;;X;
51;STACJA PALIW;ADGAZ;MAGAZYNOWA 7;GŁOGÓW;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;;;;;;;;;;X;
52;STACJA PALIW;ANNA WOJCIECHOWSKA;MAGAZYNOWA 2;GŁOGÓW;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;;;;;;;;;;X;
53;STACJA PALIW;ADGAZ-WALCZAK I S-KA SP. Z O.O.;OSADNIKÓW 2D;GŁOGÓW;67-210;DOLNOŚLĄSKIE;GŁOGOWSKI;;;;;;;;;;X;
54;STACJA PALIW;LIGUM-POL;SIKORSKIEGO 64;GŁOGÓW;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;;;;;;;;;;X;
55;STACJA PALIW;GAMA-GAZ,  PIOTR MINKUS WACŁAW MINKUS;STRUMYKOWA 2B;GŁOGÓW;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;;;;;;;;;;X;
56;STACJA PALIW;MAREK WELSANT PPHU WELT-MARK MAREK WELSANT;PORTOWA 1;GŁOGÓW;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;X;;X;;;;;;;X;
57;STACJA PALIW;CARREFOUR SP. Z O.O.;PONIATOWSKIEGO 12;GŁOGÓW;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;X;X;X;;;;;;;X;
58;STACJA PALIW;STACJA PALIW GAMA A. JUREK SPÓŁKA JAWNA (STACJA FRANCZYZOWA PKN ORLEN S.A. NR 7232);K.WIELKIEGO  6;GŁOGÓW;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;X;X;X;;;;;;;X;
59;STACJA PALIW;OMEGA PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ;MICKIEWICZA 46;GŁOGÓW;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;X;X;X;;;;;;;X;
60;STACJA PALIW;STACJA PALIW;PIASTOWSKA;GŁOGÓW;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;;;X;;;;;;;;
61;STACJA PALIW;PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE "AUTO-STACJA" SPOŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;WIERZBOWA 21;GŁOGÓW;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;X;X;X;;;;;;;;
62;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;ALEJA WOLNOŚCI 3;GŁOGÓW;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;X;X;X;;;;;;;X;
63;STACJA PALIW;ORLEN SPÓŁKA AKCYJNA NR 353;SIKORSKIEGO 66;GŁOGÓW;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;X;X;X;;;;;;;X;
64;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 351);GŁÓWNA 6;GŁOGÓW - SERBY;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;X;X;X;;;;;;;X;
65;STACJA PALIW;TESCO POLSKA SP. Z O.O.;PIŁSUDSKIEGO 15;GŁOGÓW, RUSZOWICE;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;X;X;X;;;;;;;X;
66;STACJA PALIW;MAREK WELSANT P.P.H.U. WELT-MARK MAREK WELSANT;GŁÓWNA 191;GŁOGÓW, SERBY;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;X;;X;;;;;;;X;
67;STACJA PALIW;P.H.U. PIOTR MINKUS;GŁÓWNA 1;GŁOGÓW-SERBY;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;;;;;;;;;;X;
68;STACJA PALIW;PRZEDSIĘBIORSTWO WIELOBRANŻOWE  "PIEPRZYK" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;OBWODOWA 1;JACZÓW;67-205;DOLNOŚLĄSKIE;GŁOGOWSKI;X;X;X;;;;;;;X;
69;STACJA PALIW;PW "PIEPRZYK";GŁÓWNA 1 / OBWODOWA 1;JACZÓW,  GM. JERZMANOWA;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;;;;;;;;;;X;
70;STACJA PALIW;GAMA-GAZ;POTOCZEK;JERZMANOWA;67-222;DOLNOŚLĄSKIE;GŁOGOWSKI;;;;;;;;;;X;
71;STACJA PALIW;STACJA PALIW;POŁOCZEK;JERZMANOWICE;67-222;DOLNOŚLĄSKIE;GŁOGOWSKI;;;;;;;;;;X;
72;STACJA PALIW;STACJA PALIW;AKACJOWA;KOTLA;67-240;DOLNOŚLĄSKIE;GŁOGOWSKI;X;;X;;;;;;;;
73;STACJA PALIW;PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE "AUTO-STACJA" SPOŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;ŻUKOWICE 151;ŻUKOWICE;67-200;DOLNOŚLĄSKIE;GŁOGOWSKI;X;;X;;;;;;;;
74;STACJA PALIW;PHU AUTO-STACJA SP. Z O.O.;151;ŻULOWICE;67-231;DOLNOŚLĄSKIE;GŁOGOWSKI;X;X;X;;;;;;;;
75;STACJA PALIW;P.H.U. "M A T U Z" ZBIGNIEW MATUSZCZAK;POZNAŃSKA 38;GÓRA;56-200;DOLNOŚLĄSKIE;GÓROWSKI;X;;X;;;;;;;X;
76;STACJA PALIW;STADNINA KONI DĘBNO ADAM LACHERA, EWA LACHERA, ŻANETA LACHERA SP.J."STADNINA KONI DĘBNO" ADAM LACHERA, EWA LACHERA, ŻANETA LACHERA - SPÓŁKA JAWNA (FR. ORLEN);WROCŁAWSKA 80;GÓRA;56-200;DOLNOŚLĄSKIE;GÓROWSKI;X;X;X;;;;;;;X;
77;STACJA PALIW;STACJE PALIW "JESPOL" - HENRYK JESSA (STACJA PARTNERSKA MARKI BP);AL. JAGIELLONÓW 4;GÓRA;56-200;DOLNOŚLĄSKIE;GÓROWSKI;X;X;X;;;;;;;X;
78;STACJA PALIW;JESPOL;GŁOGOWSKA 8;NIECHLÓW;56-215;DOLNOŚLĄSKIE;GÓROWSKI;X;X;X;;;;;;;;
79;STACJA PALIW;ANTONI PIEPRZYK PRZEDSIĘBIORSTWO HANDLOWO - USŁUGOWE "PIEPRZYK";GŁOGOWSKA 27;NIECHLÓW;56-215;DOLNOŚLĄSKIE;GÓROWSKI;X;;X;;;;;;;X;
80;STACJA PALIW;PRZEDSIĘBIORSTWO WIELOBRANŻOWE PIEPRZYK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1-GO MAJA 30;WĄSOSZ;56-210;DOLNOŚLĄSKIE;GÓROWSKI;X;X;X;;;;;;;;
81;STACJA PALIW;STADNINA KONI DĘBNO ADAM LACHERA, EWA LACHERA, ŻANETA LACHERA SP.J. (STACJA FRANCZYZOWA PKN ORLEN 7483);RAWICA 5;WĄSOSZ (RAWICA);56-210;DOLNOŚLĄSKIE;GÓROWSKI;X;X;X;;;;;;;X;
