Latitude          , Longitude         , NAME
50.038175388360806, 20.2162969655096  , Niepołomice Dworzec
50.03335011408626 , 20.21635205574632 , Niepołomice Rynek
50.030941708675236, 20.220093314180893, Niepołomice Bocheńska - Apteka
50.030208475953316, 20.221962569436453, Niepołomice Bocheńska
50.028403         , 20.224885         , Niepołomice Sikorskiego
50.026744251409916, 20.22084171113327 , Niepołomice Modrzejewskiej
50.02507441677153 , 20.21675038151443 , Niepołomice Aleja Dębowa
50.01385261505109 , 20.213787041278966, Staniątki Jodłowa
50.01079225256026 , 20.207451210438304, Staniątki Estakada
50.0097821608499  , 20.205705511830896, Staniątki Jana Pawła II
50.00735346940664 , 20.203483751591303, Staniątki Kapliczka
50.003694537353624, 20.202088831541516, Staniątki Biały Ogród
50.001564448843894, 20.198620191352276, Staniątki Sklep
50.00572          , 20.192289         , Staniątki Wyszyńskiego
50.009427984578785, 20.191017272805315, Staniątki Klasztor
50.012210308090914, 20.18702796253127 , Staniątki
50.015679715202864, 20.178679264586236, Staniątki Wiadukt (południe)
50.01431085478396 , 20.171413545416044, Podłęże Centrum
50.01319239998357 , 20.167254190596456, Podłęże Szkoła
50.01136878405566 , 20.172248466648632, Podłęże Ośrodek Zdrowia
50.009155652736624, 20.170983501654273, Podłęże Cmentarz
50.004882304341486, 20.159868187533466, Zakrzowiec Osiedle
50.00234748027522 , 20.160428737795726, Zakrzowiec OSP
50.00145002268255 , 20.156289618462324, Zakrzowiec Kapliczka
50.001404006034136, 20.147590124979615, Zakrzów Krzyż
50.00268800207465 , 20.141856609227432, Zakrzów Szkoła
49.99963165487808 , 20.137222246472685, Ochmanów Most
49.99963165487808 , 20.137222246472685, Ochmanów Most
49.998616         , 20.131428         , Ochmanów 61
50.002261         , 20.126808         , Ochmanów Oknoplast
50.008906866596696, 20.143129168499154, Zakrzów Ogrodzieniec
50.00616057480167 , 20.143411999281216, Zakrzów OSP
50.003482         , 20.141946         , Zakrzów Szkoła
50.001443624262016, 20.147927224818257, Zakrzów Krzyż
50.00145121919992 , 20.155626134216234, Zakrzowiec Kapliczka
50.00221645560243 , 20.160444831049453, Zakrzowiec OSP
50.005            , 20.159722         , Zakrzowiec Osiedle
50.0091534503309  , 20.17088455677156 , Podłęże Cmentarz
50.011644572537385, 20.172280653156083, Podłęże Ośrodek Zdrowia
50.013226878364755, 20.166733845009663, Podłęże Szkoła
50.01420432399143 , 20.170678636351393, Podłęże Centrum
50.01576353186328 , 20.177381653964954, Staniątki Wiadukt
50.015677915195575, 20.178891091197443, Staniątki Wiadukt (południe)
50.01237263066061 , 20.186776965439005, Staniątki
50.00761644702776 , 20.193214942983047, Staniątki Klasztor
50.005092         , 20.192252         , Staniątki Wyszyńskiego
50.0016161698536  , 20.198936692008864, Staniątki Sklep
50.004359832780196, 20.202382458434112, Staniątki Biały Ogród
50.0075800058753  , 20.20342398418122 , Staniątki Kapliczka
50.00998763026195 , 20.205821093344817, Staniątki Jana Pawła II
50.0116299652256  , 20.208100305005203, Staniątki Estakada
50.0138319319202  , 20.213599286652176, Staniątki Jodłowa
50.0251594588161  , 20.21664911946786 , Niepołomice Aleja Dębowa
50.02675459032692 , 20.220530570995223, Niepołomice Modrzejewskiej
50.02675459032692 , 20.220530570995223, Niepołomice Sikorskiego
50.03013037591383 , 20.221922035216767, Niepołomice Bocheńska
50.03335011408626 , 20.21635205574632 , Niepołomice Rynek
50.038175388360806, 20.2162969655096  , Niepołomice Dworzec
49.972978812337956, 20.201393744385577, Suchoraba Mazówka
49.977408         , 20.19742          , Suchoraba Szkoła
49.980615033456345, 20.197916793311148, Suchoraba
49.98534814197393 , 20.189768544474084, Zagórze DK94
49.98601653574277 , 20.18832334257492 , Zagórze
49.989975253957844, 20.189067186976803, Zagórze Siedliska
49.992405         , 20.188424         , Zagórze Szkoła
49.993143350585   , 20.185591329504735, Zagórze Ogrody
49.99395730816914 , 20.182532182432265, Zagórze Zachód
49.99231609515846 , 20.17516457475722 , Słomiróg Sklep
49.99271886255459 , 20.17267104435355 , Słomiróg Dom Kultury
49.992091072397976, 20.168395220943776, Słomiróg Długa
50.001404006034136, 20.147590124979615, Zakrzów Krzyż
50.00145002268255 , 20.156289618462324, Zakrzowiec Kapliczka
50.002393851447046, 20.16172695474984 , Zakrzowiec OSP
50.002954406663775, 20.167107805609703, Zakrzowiec Drukarnia
50.00197028741241 , 20.190871339291334, Staniątki Ościeżnica
50.001564448843894, 20.198620191352276, Staniątki Sklep
50.003694537353624, 20.202088831541516, Staniątki Biały Ogród
50.00735346940664 , 20.203483751591303, Staniątki Kapliczka
50.0097821608499  , 20.205705511830896, Staniątki Jana Pawła II
50.010423024681586, 20.204849123152396, Staniątki PKP
50.01030087854978 , 20.19843664636723 , Staniątki Krzyż
50.0109689310193  , 20.194216975942254, Staniątki Szkoła
50.01237263066061 , 20.186776965439005, Staniątki
50.01567351776366 , 20.178896907172625, Staniątki Wiadukt (południe)
