__lat,__lon
52.77486626692414,18.241068274789107
52.80099304261455,18.244516104380278
52.7782334837909,18.234163251693
52.77806464010518,18.26969061689857
52.79256376083197,18.266682859362884
52.800970650971244,18.268885109777862
52.79674284486897,18.24439459261942
52.76497003734,18.261222570603202
52.777102597814626,18.266541054645707
52.78254882918103,18.236762767317877
52.78278154591944,18.255803028005786
52.78555245380538,18.276000265860475
52.77880046767047,18.251392566213923
52.78787798166228,18.278641052660944
52.78886555933819,18.279183023351607
52.778691358725084,18.24532043828872
52.77820272491456,18.243758528775803
52.786725414613414,18.275730957345015
52.78897681000173,18.248435941232756
52.79819103339238,18.27878989435793
52.79493848972264,18.27371828783217
52.793499628079445,18.274300336807283
52.75239051016633,18.26188116042818
52.7785114794751,18.255711529734366
52.77883700830103,18.263795271858836
52.80390525679508,18.25966797070549
52.798381857248145,18.24798848527894
52.789796267696325,18.248871118488676
52.777106384179994,18.25180041866314
52.77308135918454,18.25295606624059
52.773454107257095,18.25936053271909
52.76459324084584,18.278958894034872
52.79872248416196,18.240519334522002
52.81052408971572,18.240155142562912
52.81436487499108,18.23737190195487
52.80796388118665,18.273788954961137
52.80906804299316,18.269078516109687
52.80827272539657,18.242947895222304
52.767335160594904,18.260359899247977
52.78602189682593,18.236662680588253
52.78454210489759,18.260287206901975
52.806660468744035,18.264574110751006
52.801563818382924,18.263339366674852
52.75395072137377,18.250498894015372
52.79341506303724,18.251152155638678
52.811255107972826,18.267946170653214
52.79310523862624,18.285693893028633
52.811688995859406,18.24328208998079
52.79141198362862,18.256004264898163
52.76474983424504,18.25684872247035
52.75498593305067,18.261136289635854
52.75671803074835,18.252393302769438
52.780822240571524,18.25001278417538
52.78016030603856,18.24694701924379
52.80660511584355,18.270273221466756
52.80310694891527,18.273922289493694
52.7700158772603,18.269794327144385
52.78195615131237,18.252206477295783
52.797484855470636,18.287276490616478
52.78751117584461,18.25709571653973
52.79173268974677,18.2550004116089
52.7791048810161,18.23551531082735
52.79352780132007,18.253779984563113
