Numer stacji;Nazwa stacji;Współrzędne1;Współrzędne2;Liczba stojaków
15103;Kraszewskiego / Trzebnicka;51.12843;17.0363;6
15104;Grota-Roweckiego / Parafialna;51.06277;17.0321;10
15105;Świeradowska / Krynicka;51.077147;17.046785;8
15106;Krzywoustego / Korona;51.14035;17.08494;10
15107;Rogowska / Zemska;51.11869;16.95336;10
15108;Hermanowska / Kołobrzeska;51.12353;16.95059;10
15109;Solskiego / al. Piastów;51.0775;16.96396;10
15110;Czekoladowa / Wałbrzyska;51.06404;16.97753;6
15111;Tarnogajska / Klimasa;51.08015;17.06228;10
15112;Opolska / pętla tramwajowa;51.07748;17.08405;10
15113;Graniczna / Strzegomska;51.10702;16.94971;10
15114;Żmigrodzka / Marino;51.15013;17.02903;10
15115;Kutrzeby / Hubala;51.056727;17.022121;10
15116;Zwycięska / Agrestowa;51.0586;17.01411;10
15117;al. Karkonoska / Jeździecka;51.061472;16.997531;6
15119;Strzegomska / Rogowska;51.11059;16.95514;10
15120;Karwińska / Opolska;51.08149;17.07693;10
15121;Reymonta / Kleczkowska;51.12695;17.02804;7
15122;Młodych Techników;51.118899;17.013477;10
15123;Popowicka / Niedźwiedzia;51.1253;16.997218;5
15124;Lotnicza / Metalowców;51.13258;16.95697;10
15125;Zaporoska / Wielka / Krucza;51.09431;17.01479;6
15126;Maślicka / Stodolna;51.15755;16.92781;6
15127;Bystrzycka / Idzikowskiego;51.12658;16.95499;6
15128;al. Kochanowskiego / Śniadeckich ;51.120068;17.077684;6
15129;al. Brücknera / Kwidzyńska;51.13198;17.07945;10
15130;Kozanowska / Pilczycka;51.13252;16.97377;10
15131;Pilczycka / Koszykarska;51.140713;16.958199;10
15132;al. Jana III Sobieskiego / stacja kolejowa;51.150227;17.118549;10
15133;Kamieńskiego / Jutrosińska;51.147082;17.042321;10
15134;Semaforowa;51.05927;17.07877;6
15135;Olszewskiego / Spółdzielcza;51.10209;17.10168;10
15136;Olszewskiego, pętla tramwajowa;51.101428;17.108523;6
15137;Bacciarellego;51.105578;17.111316;10
15138;al. Kochanowskiego / Kopernika;51.11514;17.07436;10
15139;Bałtycka / Żmigrodzka;51.13959;17.03216;10
15140;Bezpieczna / Obornicka;51.14156;17.02587;10
15141;Drzewieckiego / Dedala;51.125652;16.968627;20
15142;Ślężna / pętla tramwajowa;51.072302;17.012384;10
15143;Mościckiego / Chińska ;51.05909;17.08687;10
15144;Krakowska / Leroy Merlin;51.09053;17.06373;6
15145;Koszarowa / UWr;51.14128;17.06613;16
15146;Sołtysowicka / Redycka;51.14905;17.07565;4
15147;al. Poprzeczna / stacja kolejowa;51.142596;17.081411;6
15148;Przyjaźni / Karkonoska;51.06841;17.00399;6
15149;Przyjaźni;51.06667;16.99435;10
15150;Konduktorska;51.06628;17.05825;4
15151;Jerzmanowska;51.120913;16.876257;4
15152;Nyska / Piękna;51.084782;17.053103;10
15153;pl. Powstańców Wielkopolskich;51.12469;17.03488;8
15155;Jedności Narodowej / Wyszyńskiego;51.12814;17.05477;10
15156;Mickiewicza / pętla tramwajowa;51.11397;17.10395;6
15157;al. Armii Krajowej / Borowska;51.08361;17.03523;10
15158;Gliniana / Gajowa;51.09152;17.04033;10
15159;Kamienna / Tomaszowska;51.087764;17.039318;10
15160;al. Armii Krajowej / Bardzka;51.08283;17.04824;10
15161;Hallera / Odkrywców;51.09126;16.98581;8
15162;Skarbowców / Wietrzna;51.07329;16.99485;6
15163;Racławicka / Rymarska;51.08022;16.99467;10
15164;Lotnicza / Bajana;51.13004;16.96605;6
15165;Strachocińska / Wieśniacza;51.10666;17.14298;4
15166;Księgarska / Dekarska / Zduńska;51.17759;17.01588;6
15168;Nyska / Jesionowa;51.08729;17.05115;6
15169;al. Armii Krajowej / Tarnogajska;51.083551;17.060519;6
15170;Prochowicka / Dolnobrzeska;51.15127;16.86564;6
15171;Boguszowska / Kosmonautów;51.14395;16.89012;10
15172;Popowicka / Rysia;51.127192;16.991832;4
15173;Kosmonautów / Glinianki / WUWA2;51.13884;16.93191;10
15174;Wilanowska;51.15509;17.13249;6
15175;Okulickiego;51.160517;17.12231;10
15176;Poleska / Litewska;51.142323;17.127246;10
15177;Bacciarellego / pętla autobusowa;51.10224;17.11645;6
15178;Średzka / Dolnobrzeska;51.14597;16.86692;10
15179;Miłoszycka / Swojczycka;51.11464;17.13042;6
15180;Stabłowicka / Główna;51.16322;16.89648;6
15181;Wojanowska / Arbuzowa;51.15435;16.89888;10
15182;Osobowicka / Ostrowska;51.14382;16.98789;3
15183;Kiełczowska;51.14574;17.13493;6
15184;Gorlicka / Litewska;51.141797;17.123711;6
15185;Kasprowicza / Syrokomli;51.137247;17.048546;6
15186;Paprotna / Obornicka, zajezdnia MPK;51.148528;17.020477;6
15187;Kosmonautów / Fieldorfa, szpital wojewódzki;51.14221;16.90591;6
15188;Stabłowicka;51.171074;16.902364;6
15189;Mrągowska / Rolna;51.149606;16.938033;6
15190;Partyzantów / Okrzei;51.109457;17.097924;6
15191;Hubska / Prudnicka;51.089572;17.045321;10
15192;Jagodzińska / Buforowa;51.058564;17.056696;4
15193;Kołłątaja / Podwale;51.103854;17.03678;10
15194;Opolska / Siemianowicka;51.071275;17.090906;10
15195;Piaskowa / św. Ducha;51.11289;17.03971;9
15196;Klecińska / Duńska;51.109433;16.969097;10
15197;pl. Orląt Lwowskich;51.10823;17.02138;17
15198;Komandorska / Kamienna;51.09009;17.0235;10
15199;Wrocław Stadion, stacja kolejowa;51.13707;16.94095;6
15200;Wrocław Leśnica, stacja kolejowa;51.14323;16.86627;10
15167;Stadion Olimpijski;51.118031;17.095563;10
15254;Kozanowska Pilczyce;51.129565;16.989853;
15255;Grota-Roweckiego/Iwaszkiewicza;51.05687;17.03236;6
15256;Kowalska/Lechitów;51.13197;17.11071;6
15257;Kamieńskiego;51.15472;17.04376;6
15258;Lubelska/Łukowska;51.165419;16.920266;6
15259;Kwidzyńska pętla;51.12776;17.10254;6
15260;Rakowiecka;51.09761;17.06855;6
15261;Powstańców Śląskich/Orla;51.08;17.00773;6
15263;Klecińska (Wrocław Grabiszyn);51.09724;16.97512;6
15264;Sukielicka / Rogowska;51.118185;16.946011;
15265;Kozanowska/Pałucka;51.13863;16.97735;6
15266;Piławska;51.07236;17.04294;6
15267;Gorlicka/Stanety;51.14518;17.11679;6
15268;3M;51.1277;17.11456;10
15269;Gazowa / Międzyleska;51.07814;17.07026;6
15270;Bezpieczna/Jugosławiańska;51.13894;17.02028;6
15271;Piłsudskiego 13 od Jump Hall;51.1052;17.02123;6
15273;Otyńska;51.11251;16.978385;10
15274;Amazon WRO2;51.034956;16.950763;10
15201;Gajowicka;51.085656;17.00453;10
15275;Dalimira/Pęgowska;51.196906;16.974741;7
15276;Nowodworska/Strzegomska;51.114538;16.966035;10
15278;Kopycińskiego/Drabika;51.058262;17.052487;16
