__gov_id,__osm_id
-284943403,8533551793
-169751428,8648718763
-624981510,158667728
-505736196,176370454
-854673421,285476525
-129908939,12476340000
-922797592,327850227
-339800838,100438162
-1034073921,430400120
-937749015,481220848
-379110290,113883533
-61663625,660624879
-78615749,217424554
-426411743,285778871
-335848080,198619606
-786692133,12836643338
-439121600,170475085
-453551983,888465303
-749981675,225538152
-77907875,283185701
-610388260,8789359624
-468253487,151224104
-595098660,1858332687
-387482119,12957084166
-177772786,356069808
-741486468,152683621
-451452344,172010671
-952578383,126357869
-1017618621,122504531
-454939708,312332938
-840442931,123502311
-268382676,227742738
-937394984,47800269
-982594233,199427061
-522409497,253032644
-570659082,162759572
-44074403,183752789
-358407286,378544516
-635696614,284578556
-519849857,152980143
-665673019,233355080
-154008299,3393038200
-275574431,362194305
-213690374,397941331
-877010496,54362275
-565854095,1459290290
-395843137,527381290
-942900123,104142203
-922101035,240444196
-570537432,662253977
-344388209,403102646
-638590779,249715219
-82504829,351834834
-727249920,354354576
-990301447,257003643
-749553759,324891057
-606387619,249888180
-712452725,269636985
-158613632,207021570
-842807924,258701365
-1012602236,5228627223
-1030742534,262732401
-186175257,221653372
-22876357,367797691
-392703940,321684698
-554942278,5874440407
-1003008446,259443723
-809311417,11146838933
-1061546525,850974779
-532725656,300917445
-618571989,426549077
-86029016,530472418
-236671307,9264143290
-706543884,120818181
-1054298051,188969203
-883692406,441229596
-841169064,299765728
-268407429,197056899
-205632178,363412849
-179778927,233422227
-242987980,5867700593
-704444627,272272638
-166042032,377102247
-668297283,406181278
-243771545,215464684
-1007012534,2254637412
-946992269,98874011
-935669314,195061154
-428820535,313625429
-672488095,10315462752
-769989560,223726543
-1050492124,203600581
-386822663,289144301
-548237045,97975801
-77535136,380580954
-799945734,445572779
-113962724,300919151
-912621766,356818404
-553978374,83634179
-569943989,464076827
-797881390,2185896464
-179772089,104185004
-451490859,229327529
-878491939,364416683
-781120494,273909169
-118047012,2289997455
-683775491,587602406
-941992656,228944596
-261069563,396984729
-928885080,39154537
-551576170,124697691
-940412742,4841046222
-525204129,3382639478
-1033161947,157828197
-500394938,234029439
-1060061461,99466393
-64089454,355435155
-310519652,346217223
-688665974,125522619
-19180350,10741919699
-773042110,2778242630
-840571978,368652577
-732880006,299813137
-889891171,220394593
-443851355,253912696
-49362586,234098379
-1038116209,5611787758
-340594221,184613677
