official_name,short_name,addr:postcode,addr:city,addr:street,addr:housenumber,opening_hours,operator,__id
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Lwówku Śląskim,Biuro Terenowe ZUS w Lwówku Śląskim,59-600,Lwówek Śląski,10-tej Dywizji,6,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Legnicy,-213690374
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Polkowicach,Biuro Terenowe ZUS w Polkowicach,59-100,Polkowice,Górna,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Legnicy,-519551083
Zakład Ubezpieczeń Społecznych - Oddział w Lublinie,Oddział ZUS w Lublinie,20-601,Lublin,T. Zana,36/38c,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-877010496
Zakład Ubezpieczeń Społecznych - Inspektorat w Białej Podlaskiej,Inspektorat ZUS w Białej Podlaskiej,21-500,Biała Podlaska,Sadowa,23,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Lublinie,-367150826
Zakład Ubezpieczeń Społecznych - Inspektorat w Kraśniku,Inspektorat ZUS w Kraśniku,23-204,Kraśnik,Ks. J. Popiełuszki,3a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Lublinie,-565854095
Zakład Ubezpieczeń Społecznych - Inspektorat w Lubartowie,Inspektorat ZUS w Lubartowie,21-100,Lubartów,Lipowa,6,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Lublinie,-970359693
Zakład Ubezpieczeń Społecznych - Inspektorat w Łukowie,Inspektorat ZUS w Łukowie,21-400,Łuków,Kardynała S. Wyszyńskiego,56,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Lublinie,-338747070
Zakład Ubezpieczeń Społecznych - Inspektorat w Puławach,Inspektorat ZUS w Puławach,24-100,Puławy,Lubelska 20,b,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Lublinie,-395843137
Zakład Ubezpieczeń Społecznych - Inspektorat w Radzyniu Podlaskim,Inspektorat ZUS w Radzyniu Podlaskim,21-300,Radzyń Podlaski,Armii Krajowej,22-32,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Lublinie,-556411619
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Łęcznej,Biuro Terenowe ZUS w Łęcznej,21-010,Łęczna,Obrońców Pokoju,5,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Lublinie,-990269299
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Opolu Lubelskim,Biuro Terenowe ZUS w Opolu Lubelskim,24-300,Opole Lubelskie,Józefa Piłsudskiego,12,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Lublinie,-963795241
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Parczewie,Biuro Terenowe ZUS w Parczewie,21-200,Parczew,Pl. Wolności,7,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Lublinie,-829077550
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Rykach,Biuro Terenowe ZUS w Rykach,08-500,Ryki,J. Słowackiego,5A,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Lublinie,-169751428
Zakład Ubezpieczeń Społecznych - I Oddział w Łodzi,I Oddział ZUS w Łodzi,90-431,Łódź,Zamenhofa,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-942900123
Zakład Ubezpieczeń Społecznych - II Inspektorat w Łodzi,II Inspektorat ZUS w Łodzi,91-120,Łódź,Lipiec Reymontowskich,11,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS I Oddział w Łodzi,-471033013
Zakład Ubezpieczeń Społecznych - Inspektorat w Kutnie,Inspektorat ZUS w Kutnie,99-301,Kutno,Jagiełły,12,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS I Oddział w Łodzi,-922101035
Zakład Ubezpieczeń Społecznych - Inspektorat w Łowiczu,Inspektorat ZUS w Łowiczu,99-400,Łowicz,Kaliska,8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS I Oddział w Łodzi,-1028685376
Zakład Ubezpieczeń Społecznych - Inspektorat w Zgierzu,Inspektorat ZUS w Zgierzu,95-100,Zgierz,3 Maja,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS I Oddział w Łodzi,-950191278
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Brzezinach,Biuro Terenowe ZUS w Brzezinach,95-060,Brzeziny,Łódzka,19,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS I Oddział w Łodzi,-554118090
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Łęczycy,Biuro Terenowe ZUS w Łęczycy,99-100,Łęczyca,Zachodnia,8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS I Oddział w Łodzi,-180217236
Zakład Ubezpieczeń Społecznych - II Oddział w Łodzi,II Oddział ZUS w Łodzi,98-220,Zduńska Wola,Kilińskiego,7/11,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-547015561
Zakład Ubezpieczeń Społecznych - Inspektorat w Łodzi,Inspektorat ZUS w Łodzi,91-120,Łódź,Lipiec Reymontowskich,11,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Łodzi,-46461942
Zakład Ubezpieczeń Społecznych - Inspektorat w Pabianicach,Inspektorat ZUS w Pabianicach,95-200,Pabianice,Kościuszki,31,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Łodzi,-570537432
Zakład Ubezpieczeń Społecznych - Inspektorat w Sieradzu,Inspektorat ZUS w Sieradzu,98-200,Sieradz,Piłsudskiego,8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Łodzi,-344388209
Zakład Ubezpieczeń Społecznych - Inspektorat w Wieluniu,Inspektorat ZUS w Wieluniu,98-300,Wieluń,3 Maja,7,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Łodzi,-638590779
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Pajęcznie,Biuro Terenowe ZUS w Pajęcznie,98-330,Pajęczno,Wiśniowa,10,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Łodzi,-82504829
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Poddębicach,Biuro Terenowe ZUS w Poddębicach,99-200,Poddębice,Łęczycka,17/19,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Łodzi,-347076179
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Wieruszowie,Biuro Terenowe ZUS w Wieruszowie,98-400,Wieruszów,Bursztynowa,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Łodzi,-304898401
Zakład Ubezpieczeń Społecznych - Oddział w Nowym Sączu,Oddział ZUS w Nowym Sączu,33-300,Nowy Sącz,Sienkiewicza,77,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-727249920
Zakład Ubezpieczeń Społecznych - Inspektorat w Gorlicach,Inspektorat ZUS w Gorlicach,38-300,Gorlice,Jagiełły,14,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Nowym Sączu,-894842674
Zakład Ubezpieczeń Społecznych - Inspektorat w Limanowej,Inspektorat ZUS w Limanowej,34-600,Limanowa,Józefa Marka,21,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Nowym Sączu,-628987700
Zakład Ubezpieczeń Społecznych - Inspektorat w Nowym Targu,Inspektorat ZUS w Nowym Targu,34-400,Nowy Targ,Królowej Jadwigi,10,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Nowym Sączu,-990301447
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Zakopanem,Biuro Terenowe ZUS w Zakopanem,34-500,Zakopane,Gimnazjalna,8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Nowym Sączu,-706412863
Zakład Ubezpieczeń Społecznych - Oddział w Olsztynie,Oddział ZUS w Olsztynie,10-959,Olsztyn,Pl. Konsulatu Polskiego,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-624981510
Zakład Ubezpieczeń Społecznych - Inspektorat w Bartoszycach,Inspektorat ZUS w Bartoszycach,11-200,Bartoszyce,Bohaterów Warszawy,2a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Olsztynie,-142122366
Zakład Ubezpieczeń Społecznych - Inspektorat w Działdowie,Inspektorat ZUS w Działdowie,13-200,Działdowo,Waryńskiego,13,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Olsztynie,-684175438
Zakład Ubezpieczeń Społecznych - Inspektorat w Ełku,Inspektorat ZUS w Ełku,19-300,Ełk,Wojska Polskiego,73,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Olsztynie,-858492235
Zakład Ubezpieczeń Społecznych - Inspektorat w Giżycku,Inspektorat ZUS w Giżycku,11-500,Giżycko,Królowej Jadwigi,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Olsztynie,-409746897
Zakład Ubezpieczeń Społecznych - Inspektorat w Kętrzynie,Inspektorat ZUS w Kętrzynie,11-400,Kętrzyn,Reja,10,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Olsztynie,-749553759
Zakład Ubezpieczeń Społecznych - Inspektorat w Lidzbarku Warmińskim,Inspektorat ZUS w Lidzbarku Warmińskim,11-100,Lidzbark Warmiński,Legionów,3,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Olsztynie,-606387619
Zakład Ubezpieczeń Społecznych - Inspektorat w Szczytnie,Inspektorat ZUS w Szczytnie,12-100,Szczytno,Barczewskiego,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Olsztynie,-505736196
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Gołdapi,Biuro Terenowe ZUS w Gołdapi,19-500,Gołdap,Matejki,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Olsztynie,-623151567
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Mrągowie,Biuro Terenowe ZUS w Mrągowie,11-700,Mrągowo,Królewiecka,43,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Olsztynie,-752559560
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Nidzicy,Biuro Terenowe ZUS w Nidzicy,13-100,Nidzica,Sienkiewicza,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Olsztynie,-712452725
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Piszu,Biuro Terenowe ZUS w Piszu,12-200,Pisz,Czerniewskiego,3,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Olsztynie,-1059844050
Zakład Ubezpieczeń Społecznych - Oddział w Opolu,Oddział ZUS w Opolu,45-701,Opole,Wrocławska,24,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-158613632
Zakład Ubezpieczeń Społecznych - Inspektorat w Brzegu,Inspektorat ZUS w Brzegu,49-305,Brzeg,Starobrzeska,28c,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Opolu,-842807924
Zakład Ubezpieczeń Społecznych - Inspektorat w Głubczycach,Inspektorat ZUS w Głubczycach,48-100,Głubczyce,Chrobrego,5,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Opolu,-585046060
Zakład Ubezpieczeń Społecznych - Inspektorat w Kędzierzynie-Koźlu,Inspektorat ZUS w Kędzierzynie-Koźlu,47-220,Kędzierzyn-Koźle,al. Jana Pawła II,26,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Opolu,-1012602236
Zakład Ubezpieczeń Społecznych - Inspektorat w Kluczborku,Inspektorat ZUS w Kluczborku,46-200,Kluczbork,Katowicka,14,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Opolu,-1030742534
Zakład Ubezpieczeń Społecznych - Inspektorat w Nysie,Inspektorat ZUS w Nysie,48-300,Nysa,Armii Krajowej,3,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Opolu,-186175257
Zakład Ubezpieczeń Społecznych - Inspektorat w Oleśnie,Inspektorat ZUS w Oleśnie,46-300,Olesno,Słowackiego,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Opolu,-505144078
Zakład Ubezpieczeń Społecznych - Inspektorat w Prudniku,Inspektorat ZUS w Prudniku,48-200,Prudnik,Powstańców Śląskich,7a/7b,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Opolu,-848049560
Zakład Ubezpieczeń Społecznych - Inspektorat w Strzelcach Opolskich,Inspektorat ZUS w Strzelcach Opolskich,47-100,Strzelce Opolskie,K. Miarki,2a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Opolu,-112240975
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Namysłowie,Biuro Terenowe ZUS w Namysłowie,46-100,Namysłów,Rynek,Ratusz,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Opolu,-263005766
Zakład Ubezpieczeń Społecznych - Oddział w Ostrowie Wielkopolskim,Oddział ZUS w Ostrowie Wielkopolskim,63-400,Ostrów Wielkopolski,Wysocka,1b,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-22876357
Zakład Ubezpieczeń Społecznych - Inspektorat w Jarocinie,Inspektorat ZUS w Jarocinie,63-200,Jarocin,Kościuszki,16a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Ostrowie Wielkopolskim,-934237922
Zakład Ubezpieczeń Społecznych - Inspektorat w Kaliszu,Inspektorat ZUS w Kaliszu,62-800,Kalisz,Konopnickiej,31,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Ostrowie Wielkopolskim,-565633847
Zakład Ubezpieczeń Społecznych - Inspektorat w Kępnie,Inspektorat ZUS w Kępnie,63-600,Kępno,Solidarności,8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Ostrowie Wielkopolskim,-134417698
Zakład Ubezpieczeń Społecznych - Inspektorat w Kościanie,Inspektorat ZUS w Kościanie,64-000,Kościan,Kaźmierczaka,31,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Ostrowie Wielkopolskim,-446064962
Zakład Ubezpieczeń Społecznych - Inspektorat w Lesznie,Inspektorat ZUS w Lesznie,64-100,Leszno,Al. Krasińskiego,36,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Ostrowie Wielkopolskim,-938739805
Zakład Ubezpieczeń Społecznych - Inspektorat w Rawiczu,Inspektorat ZUS w Rawiczu,63-900,Rawicz,Mikołajewicza,18,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Ostrowie Wielkopolskim,-392703940
Zakład Ubezpieczeń Społecznych - Inspektorat w Wolsztynie,Inspektorat ZUS w Wolsztynie,64-200,Wolsztyn,Poznańska,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Ostrowie Wielkopolskim,-554942278
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Gostyniu,Biuro Terenowe ZUS w Gostyniu,63-800,Gostyń,Nowe Wrota,10,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Ostrowie Wielkopolskim,-794790048
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Krotoszynie,Biuro Terenowe ZUS w Krotoszynie,63-700,Krotoszyn,Kobierska,5,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Ostrowie Wielkopolskim,-178741553
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Ostrzeszowie,Biuro Terenowe ZUS w Ostrzeszowie,63-500,Ostrzeszów,Przemysłowa,7,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Ostrowie Wielkopolskim,-964836254
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Pleszewie,Biuro Terenowe ZUS w Pleszewie,63-300,Pleszew,Ogrodowa,3a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Ostrowie Wielkopolskim,-1003008446
Zakład Ubezpieczeń Społecznych - Oddział w Pile,Oddział ZUS w Pile,64-920,Piła,Dr. Drygasa,7,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-294346182
Zakład Ubezpieczeń Społecznych - Inspektorat w Chodzieży,Inspektorat ZUS w Chodzieży,64-800,Chodzież,Dworcowa,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Pile,-827208631
Zakład Ubezpieczeń Społecznych - Inspektorat w Czarnkowie,Inspektorat ZUS w Czarnkowie,64-700,Czarnków,Kościuszki,87,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Pile,-948971692
Zakład Ubezpieczeń Społecznych - Inspektorat w Wągrowcu,Inspektorat ZUS w Wągrowcu,62-100,Wągrowiec,Przemysłowa,11,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Pile,-297937591
Zakład Ubezpieczeń Społecznych - Inspektorat w Złotowie,Inspektorat ZUS w Złotowie,77-400,Złotów,Al. Piasta,37,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Pile,-319712887
Zakład Ubezpieczeń Społecznych - Oddział w Płocku,Oddział ZUS w Płocku,09-402,Płock,Al. Stanisława Jachowicza,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-136867298
Zakład Ubezpieczeń Społecznych - Inspektorat w Ciechanowie,Inspektorat ZUS w Ciechanowie,06-400,Ciechanów,Rzeczkowska,8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Płocku,-809311417
Zakład Ubezpieczeń Społecznych - Inspektorat w Gostyninie,Inspektorat ZUS w Gostyninie,09-500,Gostynin,Płocka 37,a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Płocku,-183072903
Zakład Ubezpieczeń Społecznych - Inspektorat w Makowie Mazowieckim,Inspektorat ZUS w Makowie Mazowieckim,06-200,Maków Mazowiecki,Kopernika 6,a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Płocku,-1061546525
Zakład Ubezpieczeń Społecznych - Inspektorat w Mławie,Inspektorat ZUS w Mławie,06-500,Mława,Padlewskiego,29/31,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Płocku,-532725656
Zakład Ubezpieczeń Społecznych - Inspektorat w Ostrołęce,Inspektorat ZUS w Ostrołęce,07-410,Ostrołęka,dr A. Kuklińskiego,3,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Płocku,-781834876
Zakład Ubezpieczeń Społecznych - Inspektorat w Ostrowi Mazowieckiej,Inspektorat ZUS w Ostrowi Mazowieckiej,07-300,Ostrów Mazowiecka,Dubois,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Płocku,-618571989
Zakład Ubezpieczeń Społecznych - Inspektorat w Płońsku,Inspektorat ZUS w Płońsku,09-100,Płońsk,Warszawska,5,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Płocku,-914658038
Zakład Ubezpieczeń Społecznych - Inspektorat w Pułtusku,Inspektorat ZUS w Pułtusku,06-100,Pułtusk,Daszyńskiego,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Płocku,-854673421
Zakład Ubezpieczeń Społecznych - Inspektorat w Sierpcu,Inspektorat ZUS w Sierpcu,09-200,Sierpc,gen. L. Okulickiego,8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Płocku,-86029016
Zakład Ubezpieczeń Społecznych - Inspektorat w Wyszkowie,Inspektorat ZUS w Wyszkowie,07-200,Wyszków,Sowińskiego,83,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Płocku,-236671307
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Przasnyszu,Biuro Terenowe ZUS w Przasnyszu,06-300,Przasnysz,Leszno,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Płocku,-436176657
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Żurominie,Biuro Terenowe ZUS w Żurominie,09-300,Żuromin,Szpitalna,89/93,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Płocku,-612750332
Zakład Ubezpieczeń Społecznych - I Oddział w Poznaniu,I Oddział ZUS w Poznaniu,60-908,Poznań,Dąbrowskiego,12,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-706543884
Zakład Ubezpieczeń Społecznych - Inspektorat w Grodzisku Wielkopolskim,Inspektorat ZUS w Grodzisku Wielkopolskim,62-065,Grodzisk Wielkopolski,Żwirowa,6,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS I Oddział w Poznaniu,-337653180
Zakład Ubezpieczeń Społecznych - Inspektorat w Międzychodzie,Inspektorat ZUS w Międzychodzie,64-400,Międzychód,Słowackiego,7,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS I Oddział w Poznaniu,-126141087
Zakład Ubezpieczeń Społecznych - Inspektorat w Nowym Tomyślu,Inspektorat ZUS w Nowym Tomyślu,64-300,Nowy Tomyśl,Kolejowa,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS I Oddział w Poznaniu,-1054298051
Zakład Ubezpieczeń Społecznych - Inspektorat w Poznaniu,Inspektorat ZUS w Poznaniu,61-512,Poznań,Fabryczna,27/28,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS I Oddział w Poznaniu,-954528350
Zakład Ubezpieczeń Społecznych - Inspektorat w Szamotułach,Inspektorat ZUS w Szamotułach,64-500,Szamotuły,B. Chrobrego,17,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS I Oddział w Poznaniu,-883692406
Zakład Ubezpieczeń Społecznych - II Oddział w Poznaniu,II Oddział ZUS w Poznaniu,61-361,Poznań,Starołęcka,31,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-535447673
Zakład Ubezpieczeń Społecznych - Inspektorat w Gnieźnie,Inspektorat ZUS w Gnieźnie,62-200,Gniezno,Sienkiewicza,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Poznaniu,-433273283
Zakład Ubezpieczeń Społecznych - Inspektorat w Kole,Inspektorat ZUS w Kole,62-600,Koło,B. Prusa,11,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Poznaniu,-841169064
Zakład Ubezpieczeń Społecznych - Inspektorat w Koninie,Inspektorat ZUS w Koninie,62-510,Konin,Św. Maksymiliana Kolbego,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Poznaniu,-268407429
Zakład Ubezpieczeń Społecznych - Inspektorat w Obornikach,Inspektorat ZUS w Obornikach,64-600,Oborniki Wielkopolskie,Armii Poznań,27,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Poznaniu,-608660891
Zakład Ubezpieczeń Społecznych - Inspektorat w Śremie,Inspektorat ZUS w Śremie,63-100,Śrem,Szeroka,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Poznaniu,-205632178
Zakład Ubezpieczeń Społecznych - Inspektorat w Środzie Wielkopolskiej,Inspektorat ZUS w Środzie Wielkopolskiej,63-000,Środa Wielkopolska,Szpitalna,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Poznaniu,-701474561
Zakład Ubezpieczeń Społecznych - Inspektorat w Turku,Inspektorat ZUS w Turku,62-700,Turek,Armii Krajowej,18,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Poznaniu,-179778927
Zakład Ubezpieczeń Społecznych - Inspektorat we Wrześni,Inspektorat ZUS we Wrześni,62-300,Września,Wrocławska,42,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Poznaniu,-597876847
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Słupcy,Biuro Terenowe ZUS w Słupcy,62-400,Słupca,Ratajczaka,2E,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Poznaniu,-118159789
Zakład Ubezpieczeń Społecznych - Oddział w Radomiu,Oddział ZUS w Radomiu,26-600,Radom,Czachowskiego,21a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-242987980
Zakład Ubezpieczeń Społecznych - Inspektorat w Grójcu,Inspektorat ZUS w Grójcu,05-600,Grójec,J. Matejki,10,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Radomiu,-230418828
Zakład Ubezpieczeń Społecznych - Inspektorat w Kozienicach,Inspektorat ZUS w Kozienicach,26-900,Kozienice,Radomska,43,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Radomiu,-129908939
Zakład Ubezpieczeń Społecznych - Inspektorat w Szydłowcu,Inspektorat ZUS w Szydłowcu,26-500,Szydłowiec,Sowińskiego,6,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Radomiu,-704444627
Zakład Ubezpieczeń Społecznych - Inspektorat w Zwoleniu,Inspektorat ZUS w Zwoleniu,26-700,Zwoleń,Bogusza,20,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Radomiu,-188541781
