Dąbrowa Tarnowska|Ul. Grunwaldzka 28a|33-200|
Dębica|Ul. Rzeszowska 131|39-200|
Dobra|Dobra 45|34-642|
Dubiecko|Ul. Przemyska 43a|37-750|
