__gov_id,__osm_id
-928459543,8533551793
-344311684,8648718763
-153307253,158667728
-210034193,176370454
-985764078,285476525
-1021984077,12476340000
-213759860,327850227
-501031701,100438162
-975529831,430400120
-300300629,481220848
-1017363931,113883533
-103144441,660624879
-174283088,217424554
-55135701,285778871
-459951546,198619606
-554192857,12836643338
-205046245,170475085
-973804681,888465303
-974516313,358331847
-550025091,225538152
-190386752,283185701
-284269710,8789359624
-949880770,151224104
-920202536,1858332687
-874787209,12957084166
-390046521,356069808
-386989271,152683621
-132744425,172010671
-450905317,126357869
-685030624,226715859
-475456247,122504531
-625462861,312332938
-837730019,123502311
-554622624,227742738
-674762711,47800269
-46177717,199427061
-44229067,253032644
-926823066,162759572
-1037890431,183752789
-606695519,378544516
-861916717,284578556
-631386842,152980143
-1013727695,233355080
-513887828,3393038200
-979500093,362194305
-914259408,397941331
-388687935,54362275
-692252898,1459290290
-991127157,527381290
-61378243,104142203
-292079293,240444196
-785800196,662253977
-963767442,403102646
-413126168,249715219
-813787760,351834834
-999601678,354354576
-183449082,257003643
-1003760504,324891057
-303578533,249888180
-930589034,269636985
-242434851,207021570
-761782285,258701365
-799456358,5228627223
-967810845,262732401
-301785271,221653372
-595937603,367797691
-528691163,321684698
-293944389,5874440407
-248776174,259443723
-314251565,11146838933
-381235292,850974779
-187637507,300917445
-424366725,426549077
-842711635,530472418
-7280252,9264143290
-99524400,120818181
-501363163,188969203
-188860611,441229596
-846872550,299765728
-343326524,197056899
-518064380,363412849
-720825347,233422227
-463071358,5867700593
-692535695,272272638
-173627466,377102247
-481051940,406181278
-47317056,215464684
-376346759,2254637412
-64145453,98874011
-60833128,195061154
-522554429,313625429
-998786272,10315462752
-1015830929,223726543
-277132664,203600581
-436605726,289144301
-826847650,97975801
-62802738,380580954
-567061995,445572779
-340739570,300919151
-307291252,356818404
-132424407,83634179
-1000954024,464076827
-598591223,2185896464
-605184339,104185004
-506616860,229327529
-779827881,364416683
-924789138,273909169
-507705129,2289997455
-433222032,587602406
-105054456,228944596
-1023077690,396984729
-71867862,39154537
-13152409,124697691
-879365727,4841046222
-487081665,3382639478
-986895752,157828197
-789862188,234029439
-450221328,99466393
-353613453,355435155
-197787169,346217223
-498914114,125522619
-781836824,10741919699
-724920081,2778242630
-624504003,368652577
-395336687,299813137
-777401602,220394593
-6005072,253912696
-944440066,234098379
-407289737,5611787758
-519895023,184613677
-457665074,375963725
-1014122410,285629382
-522625302,170754501
-761872813,380627990
-433084798,11142928598
