__id,__lat,__lon
-1005322093,52.774771,23.1993041
-40903725,52.7343084,23.5942
-701536760,53.1724502,22.0826352
-265105848,52.4249562,22.8595619
-777833995,False,False
-87557685,54.0973382,22.9369893
-959219700,52.9167386,22.5164735
-1036005885,52.9755706,22.246682
-504662776,53.4111243,21.9253011
-581643812,49.8273644,19.0414913
-66284936,49.7481215,18.6421202
-616710693,50.5298995,22.7165959
-463002713,51.1286504,23.4786534
-454825970,50.4472947,23.4137893
-252811055,50.714037,23.2661299
-447411773,50.9843591,23.1670523
-275127032,51.5481539,23.5533646
-365736789,53.1382903,17.5848514
-789941944,False,False
-543782351,53.5850723,17.8601158
-793169046,False,False
-864031900,53.4559816,17.5388259
-1044418457,50.2443545,19.1406164
-43234008,50.269694,19.5751618
-162945790,49.8853304,19.4933852
-776380104,50.6811799,18.6759919
-177646460,50.5768465,19.3424068
-266906290,50.77287,19.67674
-841511485,53.584892,19.5573472
-435913870,53.6880251,19.9691597
-351080742,54.3858822,19.8158026
-309076168,54.348894,18.6539861
-249386252,False,False
-482130295,False,False
-100938484,False,False
-500412760,53.7322119,18.9281
-292405948,False,False
-137824236,False,False
-909871131,False,False
-1017280786,False,False
-52330850,54.6029573,18.2349684
-568556797,52.7293404,15.2282297
-281578249,52.3479941,14.5607999
-472933912,52.4359338,15.1176447
-662888574,52.4524042,15.584256
-362818613,52.8752279,15.5322899
-49438648,49.7479624,21.4745102
-534520813,49.6794096,21.7761346
-605700607,49.5527888,22.2024129
-563521652,50.4702382,20.7252161
-194048312,50.8028875,21.4315471
-1066756953,50.9456055,21.3832238
-660402295,51.058614,21.0663861
-769295478,50.6369556,20.2705945
-462998018,False,False
-177475646,50.6858542,21.7352076
-1059613531,50.5652365,21.1660903
-552825182,50.8480703,19.9763795
-1063484048,53.530543,15.8070891
-437051698,54.1771755,15.5717402
-393604422,53.772496,15.7716716
-530181061,53.2747887,16.4709088
-869348222,50.0130554,19.9286071
-24599829,50.0782032,20.0312135
-624113595,50.0245893,19.933597
-593750518,50.3586327,20.0259755
-839260693,49.8324269,19.9552085
-706717154,50.1912645,20.2942814
-396690298,False,False
-85393873,51.26205,15.5560168
-319157195,51.0588307,16.1852817
-520109073,51.1228442,15.9139338
-519551083,51.50274,16.06789
-367150826,52.0378935,23.1180758
-970359693,51.4654311,22.6045302
-338747070,False,False
-556411619,51.7853669,22.6177628
-990269299,51.2943351,22.8940857
-963795241,51.1476947,21.9708958
-829077550,51.6409109,22.8993645
-471033013,51.794021,19.4054231
-1028685376,52.1040433,19.9460834
-950191278,51.8547087,19.4068607
-554118090,51.8015882,19.7314862
-180217236,52.0589483,19.1888327
-547015561,51.6011424,18.9449228
-46461942,51.794021,19.4054231
-347076179,51.8966343,18.9610064
-304898401,51.2962938,18.1643363
-894842674,49.6610251,21.1555573
-628987700,49.7019281,20.4159314
-706412863,49.3008283,19.9591598
-142122366,54.2496586,20.8157673
-684175438,53.2342532,20.1773764
-858492235,53.8248849,22.3443422
-409746897,54.041545,21.7867034
-623151567,54.3073373,22.2993944
-752559560,53.8746776,21.3033292
-1059844050,53.6225669,21.8182352
-585046060,50.2017208,17.8208109
-505144078,50.8772074,18.4167826
-848049560,50.325648,17.5901051
-112240975,False,False
-263005766,False,False
-934237922,51.9673102,17.5004035
-565633847,51.7452388,18.0759559
-134417698,51.2860055,17.9932331
-446064962,52.0811078,16.6263649
-938739805,51.8466882,16.5698326
-794790048,51.874968,17.0127603
-178741553,51.699406,17.4410934
-964836254,51.417491,17.9330928
-294346182,53.1498559,16.7252338
